t,evo
0,0.9902248289345064
15,0.8999334381005877
30,0.7448938044419978
45,0.6102247733233988
60,0.4995079880489818
75,0.4061132182220931
90,0.3289278122086028
105,0.26512179978518546
120,0.21301959128399636
135,0.17098426658753005
150,0.13684834857974584
165,0.10967056740005279
180,0.08800569193114156
195,0.0707710208093176
210,0.057253862553885614
225,0.04656083912554476
240,0.0382321069805076
255,0.03175943074411945
270,0.026712054935325334
285,0.02284551946537541
300,0.019858060131051285
315,0.017573833927177707
330,0.01584138676731232
345,0.014515855427327026
360,0.013521197877028308
375,0.012770016032405664
390,0.012204753405370517
405,0.011785719880115264
420,0.011470699597708078
435,0.01123823785375935
450,0.011066465157427333
465,0.010938769423956654
480,0.01084595367849209
495,0.01077727797476722
510,0.010727160322290987
525,0.010690882796232468
540,0.010664129143653691
555,0.010644975225756585
570,0.010631020648921751
585,0.010620880444471391
600,0.010613683981510184
615,0.010608403814147765
630,0.010604656415127709
645,0.010601974014564105
660,0.010600018633921966
675,0.010598656220227633
690,0.010597662042642963
705,0.010596956028998378
720,0.010596462111211395
735,0.010596097744025482
750,0.010595848034807355
765,0.010595667993761682
780,0.010595538350711193
795,0.010595450389481908
810,0.010595384766227723
825,0.010595339878328166
840,0.010595308357737853
855,0.010595284932611413
870,0.010595269597645602
885,0.010595258093312849
900,0.010595250080469208
915,0.010595244816614275
930,0.010595240881619117
945,0.010595239050242462
960,0.010595237875168686
975,0.010595237378589747
990,0.01059523709384471
1005,0.010595235882278838
1020,0.01059523458977315
1035,0.01059523415113097
1050,0.010595233908868644
1065,0.010595233849668165
1080,0.010595233799294154
1095,0.010595233237610155
1110,0.010595232927059417
1125,0.010595232537838927
1140,0.010595232467045006
1155,0.010595232395256142
1170,0.010595232448725435
1185,0.010595231912400417
1200,0.0105952316991336
1215,0.010595231610538507
1230,0.010595231647838606
1245,0.010595231589501233
1260,0.01059523156562114
1275,0.010595231576218344
1290,0.010595231532945028
1305,0.010595231521467309
1320,0.010595231500971617
1335,0.010595231468166261
1350,0.010595231465255218
1365,0.0105952315731576
1380,0.010595231497852775
1395,0.010595231485787303
1410,0.010595231483805388
1425,0.010595231555719214
1440,0.01059523150976671
1455,0.010595231471760816
1470,0.01059523139170588
1485,0.010595231395785968
1500,0.01059523146745318
