delta,omega,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102
-1.1,0.3,0.7692905233062434,0.7629858733836707,0.7570454823203779,0.7514669762605416,0.7462461039981964,0.7413770254575767,0.7368525697174958,0.7326644687260813,0.7288035651440689,0.725260000701591,0.7220233878445399,0.7190829625439717,0.7164277185038181,0.7140465164108647,0.7119281730935112,0.7100615354997335,0.7084355466449116,0.7070393078061892,0.7058621321251809,0.7048935856853941,0.7041235118460563,0.7035420457361717,0.7031396281277145,0.7029070209560334,0.7028353262878503,0.702915991125674,0.7031408037738934,0.7035018827113234,0.7039916723852792,0.7046029458477219,0.7053288049296255,0.7061626706542544,0.7070982646434644,0.7081295959787346,0.7092509573448734,0.7104569236344849,0.7117423400459518,0.7131023027458868,0.7145321444497749,0.716027430365398,0.7175839562526004,0.719197734190534,0.720864975173322,0.7225820778775136,0.7243456277770789,0.7261523921935544,0.7279993053112783,0.729883453323577,0.7318020707468275,0.7337525404115883,0.7357323833017799,0.025273055631764168,0.026623523392525546,0.027994403742273667,0.02938550673009984,0.030796671632997142,0.032227747664015594,0.03367857629524548,0.03514898188581957,0.03663877442217887,0.03814776203082769,0.03967576337030232,0.04122260772752831,0.0427881174726527,0.04437208083104262,0.04597423438255111,0.04759427162255815,0.04923187539728564,0.05088674982485567,0.052558621870060385,0.05424720612875829,0.05595216148978852,0.057673083157634336,0.059409545037362954,0.061161155906824985,0.06292757168203959,0.064708444362223,0.0665033595792705,0.06831183525639828,0.07013339176156297,0.07196761688281035,0.07381414497902641,0.07567256922218352,0.07754239589368984,0.07942310652463024,0.08131425418317793,0.08321546471218426,0.08512633459975555,0.08704636501980541,0.08897503175007833,0.09091189704013435,0.0928565983321802,0.0948087242322681,0.09676776572521187,0.09873322417715576,0.10070471133201944,0.10268187824572078,0.1046642838994331,0.10665142199951462,0.10864286712007883,0.11063829269674098,0.11263732571513711
-1.09,0.31,0.7451226674488103,0.7386980787528308,0.7326949532461299,0.7271067048223737,0.7219248889652102,0.7171395411894221,0.7127394841562076,0.7087125998943002,0.7050460685055819,0.7017265701646767,0.69874045734226,0.6960739025016717,0.6937130266142529,0.6916440152923419,0.6898532146857739,0.6883272087781364,0.6870528753116275,0.6860174245359526,0.6852084314886744,0.6846138682902476,0.68422213133492,0.6840220601635788,0.6840029403833524,0.6841544976874394,0.684466891836553,0.6849307167360896,0.68553700291085,0.6862772111197303,0.6871432145962336,0.6881272785734055,0.6892220473147216,0.6904205392137254,0.6917161388481305,0.6931025780888501,0.6945739128084861,0.6961245062277548,0.6977490237334105,0.6994424248603835,0.7011999446911791,0.7030170721234545,0.704889536610203,0.7068133051354233,0.7087845730793813,0.7107997459684615,0.7128554218144557,0.7149483848319824,0.7170756032914273,0.7192342176422228,0.7214215233540586,0.7236349606336111,0.7258721157431046,0.026337167556662114,0.02770589434896267,0.029094152253888374,0.030501868674195905,0.03192898711212573,0.03337546598619928,0.03484127332386161,0.036326373464242404,0.03783070762421098,0.039354176332643306,0.040896634215232715,0.04245790232266276,0.04403779116440369,0.045636117680925854,0.04725269972428335,0.0488873281588665,0.05053973688891746,0.05220959874575409,0.05389655718196305,0.055600271031588884,0.0573204309365918,0.05905672764787698,0.0608087989226647,0.06257621084362337,0.06435850069197921,0.06615524294556885,0.06796606653615576,0.06979059825790354,0.07162839362719833,0.07347894096023459,0.07534174269868894,0.07721637815031236,0.07910246433071236,0.08099955947755316,0.08290713774211421,0.08482467726850526,0.08675174636462332,0.08868796368582062,0.09063288334557884,0.09258597318589948,0.09454672584811004,0.09651473929604339,0.09848963892898228,0.100470958383805,0.10245817112582428,0.10445082826983738,0.10644857759352824,0.10845102713265058,0.11045768248177686,0.11246807005059367,0.11448183535330507
-1.08,0.32,0.7175578521237268,0.7110851800920706,0.7050972914021191,0.6995821723893519,0.6945261015083459,0.6899140337961592,0.6857299345268701,0.6819570727507467,0.678578275554358,0.6755761497590389,0.6729332673872268,0.6706323162915097,0.6686562176987365,0.6669882180409962,0.6656119651175894,0.6645115720771883,0.6636716721191347,0.663077457140441,0.6627146973231236,0.6625697460807504,0.6626295398872337,0.6628815992352314,0.6633140330538767,0.6639155345498158,0.6646753660808683,0.665583334229622,0.6666297676468946,0.6678055045704506,0.6691018818944915,0.6705107181201815,0.6720242850088974,0.6736352793363514,0.6753368048182432,0.6771223616070222,0.6789858312560547,0.6809214500669035,0.6829237829196018,0.6849877073119754,0.6871084062138202,0.6892813535049949,0.6915022902576246,0.6937672035918583,0.6960723174315785,0.698414087136713,0.7007891840687568,0.7031944746976129,0.7056270078582099,0.708084012199066,0.7105628884168255,0.7130611923167711,0.7155766199050583,0.027491210626522423,0.028875089946272504,0.03027767445311948,0.03169909898015526,0.03313947714055426,0.034598890296506424,0.0360773871191956,0.03757499181722313,0.039091713553775345,0.04062754749815083,0.042182462139477024,0.043756377727526156,0.045349150371761064,0.046960576501487564,0.04859041964043915,0.050238442063881096,0.05190441543963259,0.05358809784870277,0.055289194535633746,0.05700734006755515,0.05874212583797383,0.06049315416709649,0.06226006777084868,0.06404252062308806,0.06584011651518898,0.06765238319306692,0.0694788190059585,0.07131896701047244,0.07317243039674788,0.07503880516420056,0.07691760894508459,0.07880830015805297,0.08071037197986271,0.08262340139840708,0.08454698276632575,0.08648063150612138,0.08842379531799488,0.09037596524682684,0.092336729037832,0.09430568303631533,0.09628233066097047,0.09826612637694043,0.10025660385561147,0.10225338634899181,0.10425605729429832,0.10626410078437205,0.10827701582204541,0.11029441629376306,0.11231594308845451,0.11434113699207336,0.11636949785102185
-1.07,0.33,0.6861335492071782,0.6797081911069667,0.6738368471780369,0.6685006562000887,0.6636793386574774,0.6593516381925713,0.655495692298176,0.6520893415176101,0.6491103833119533,0.6465367778528979,0.6443468189498797,0.6425192753611433,0.6410335041648746,0.6398695362769748,0.6390081309030378,0.638430808483003,0.638119868836732,0.638058404469389,0.6382303111519457,0.6386202888805307,0.6392138292290893,0.6399971889916535,0.6409573608334684,0.6420820503615067,0.6433596583382953,0.6447792601317225,0.6463305728927874,0.6480039173185163,0.6497901833758514,0.6516808083510658,0.6536677575768179,0.655743497024421,0.6579009574117342,0.6601335013602591,0.6624349046347066,0.6647993403723518,0.6672213575911794,0.6696958493760302,0.6722180275015346,0.6747834087864466,0.6773878051053416,0.6800273022255985,0.6826982339603057,0.6853971659694403,0.6881208893454906,0.6908664099681777,0.6936309283030616,0.6964118207668033,0.6992066344359029,0.7020130821293953,0.7048290281754548,0.028737139829116524,0.03013247791052882,0.031545818959114603,0.03297749335116551,0.03442780615214647,0.035897023753941666,0.037385357410276814,0.03889294926966721,0.04041986858988498,0.04196612233669825,0.043531676007066505,0.04511647170932092,0.046720429467644445,0.04834342835262385,0.04998528123228005,0.05164572690477744,0.053324453388722125,0.05502113991765096,0.05673548348920877,0.05846718367909094,0.06021589681961589,0.06198120551144704,0.06376264156339623,0.06555974781955587,0.06737211678823579,0.06919936050033342,0.07104104069098688,0.07289664135022322,0.07476562460336629,0.07664751013705763,0.0785418792989302,0.08044829271848149,0.08236622580924158,0.08429511383855166,0.08623445398353148,0.08818382420657249,0.09014278653186894,0.09211081054756304,0.09408733470375814,0.09607188111440372,0.09806404925081758,0.10006339244966818,0.10206937017071213,0.10408145836328371,0.1060992431304561,0.10812234023735252,0.1101502710742741,0.11218250818228054,0.11421861720686252,0.11625824693397196,0.11830098102420447
-1.06,0.34,0.6503879784367568,0.6441301968174871,0.6385010114621233,0.6334731453913117,0.6290183957136795,0.6251081002374278,0.6217135241743565,0.6188061803513398,0.6163580842971134,0.6143419504129466,0.6127313360688201,0.6115007423129887,0.610625684910057,0.6100827440560401,0.6098496007949321,0.6099050517870779,0.6102290059091107,0.6108024602690234,0.6116074673103571,0.6126271024114558,0.6138454357886894,0.615247502581506,0.6168192621222942,0.618547547326465,0.6204200132806738,0.6224250959770308,0.624551979501168,0.6267905614521961,0.6291314085901982,0.6315657078623881,0.6340852261561168,0.6366822830619063,0.6393497252462427,0.6420808906132315,0.644869568810392,0.6477099678391051,0.6505966954279812,0.6535247401149593,0.6564894428174171,0.6594864640379086,0.662511762556756,0.6655615843445363,0.6686324470150882,0.6717211140891749,0.6748245723070272,0.6779400215435817,0.6810648678055891,0.6841967054892715,0.6873332973776135,0.6904725633824059,0.6936125777132098,0.03007148929641485,0.03147366778731003,0.032893561005922,0.03433170015165707,0.03578853460726377,0.03726443849866699,0.038759719745437106,0.04027462405337502,0.04180932896379371,0.043363930469597696,0.0449384327151843,0.046532752975373085,0.04814674583536983,0.049780235089275135,0.05143303184317597,0.05310492380580383,0.05479564411763561,0.056504849688044374,0.058232136579900555,0.059977087822838705,0.06173931357955821,0.06351844320326633,0.0653140735642544,0.06712572815063231,0.06895287828829726,0.07079501259585132,0.07265167978853448,0.07452245121581919,0.07640684301347213,0.07830429529494902,0.08021424322410863,0.0821361955518993,0.08406971551746675,0.08601432352484692,0.08796945431102288,0.08993453576025422,0.09190908359750759,0.09389267237410338,0.09588481964961755,0.09788495802910861,0.09989254495700424,0.10190714303751833,0.10392833972906067,0.10595563154833909,0.1079884654254034,0.11002637425379713,0.11206897762581094,0.11411584193429851,0.11616644281547678,0.11822030089365616,0.12027705006131013
-1.05,0.35,0.6099138287014239,0.6039654858427731,0.5987252771502695,0.5941557011270113,0.5902190883867926,0.5868780854669033,0.584096031294162,0.5818372434889811,0.5800672335550611,0.57875286590788,0.5778624697491086,0.5773659076267807,0.5772346043580262,0.5774415426025918,0.5779612375379286,0.5787697016852376,0.5798444076528296,0.5811642447889267,0.5827094633629833,0.5844616069750488,0.5864034384251986,0.5885188727572993,0.5907929203106316,0.5932116331396564,0.5957620453708257,0.5984321042757477,0.6012106050750914,0.6040871380317,0.6070520473661448,0.6100963871220927,0.6132118676791489,0.6163908021959,0.6196260650293031,0.622911062152719,0.6262397009086105,0.6296063487589161,0.6330057917652577,0.6364332064673488,0.6398841413552593,0.6433544937207274,0.6468404764099742,0.6503385885830949,0.6538456008807431,0.6573585433208142,0.6608746837241208,0.6643915015361141,0.667906672657175,0.6714180636243178,0.674923718204046,0.678421837017337,0.6819107628747028,0.0314823706407529,0.032886275116372585,0.03430806625724921,0.03574851891772696,0.037208275851180285,0.038687842106933865,0.040187588377268754,0.041707766162745255,0.04324853172921224,0.04480996911653915,0.04639210039003787,0.0479948782702631,0.049618169842648475,0.05126175035323804,0.05292532218012884,0.05460855412684907,0.05631111489319437,0.058032673012484215,0.05977286235405826,0.06153124733165263,0.06330732893876938,0.06510059611233096,0.06691057641637171,0.06873683186018822,0.07057890004592443,0.0724362460591417,0.07430828747979479,0.07619447229901175,0.07809431867335909,0.08000736249972056,0.08193307456922028,0.08387085788402089,0.08582013736086354,0.08778042490028018,0.08975126561990819,0.09173213558513521,0.09372244036503233,0.09572162433805204,0.09772923045884202,0.09974481478331805,0.1017678439398624,0.10379774079834864,0.10583401147607001,0.10787624661607995,0.1099239897628032,0.1119766933506794,0.1140338426015093,0.11609503552225942,0.11815987508720512,0.12022786315820871,0.1222984908519427
-1.04,0.36,0.5644510780988279,0.558963129782103,0.5542682139323345,0.5503166317269051,0.5470595413200275,0.5444494431754101,0.5424405394687898,0.540988982055849,0.5400530291069918,0.5395931273483768,0.5395719413607647,0.5399543463115467,0.5407073979400134,0.5418002822037526,0.5432042412517739,0.5448924818615885,0.5468400701273057,0.5490238292627733,0.5514222449562506,0.5540153768807817,0.5567847673338071,0.5597133417193876,0.5627853069365482,0.5659860619464097,0.5693021227366368,0.5727210553872518,0.5762314029264759,0.5798226059915957,0.5834849308220202,0.5872094124064995,0.5909878086161812,0.5948125504752225,0.5986766834603533,0.6025738132919082,0.6064980672804999,0.6104440651501386,0.6144068830419532,0.6183820094885819,0.6223653082931014,0.6263529953763098,0.6303416203148814,0.6343280367836392,0.638309369940001,0.6422829950614288,0.6462465265665025,0.6501978014849124,0.6541348538118591,0.6580558946804245,0.6619593048273474,0.6658436261080182,0.6697075424966462,0.03294370343657232,0.03434441512231172,0.03576396032896003,0.037203261559734364,0.03866306376358729,0.040143950124460516,0.04164635088573147,0.043170545878830076,0.04471666785557133,0.04628471624792139,0.04787458581329738,0.04948610299447757,0.0511190529378946,0.05277318211043255,0.05444817840881629,0.056143651451744055,0.05785914013275679,0.059594153115138805,0.061348214172945434,0.06312087202604667,0.0649116631787951,0.0667200650474962,0.06854549429327277,0.07038736215481464,0.07224513248030828,0.07411831540248326,0.07600639856309359,0.07790879695332532,0.07982488953851759,0.08175410506712308,0.08369594812252913,0.08564992514715603,0.08761546572705634,0.08959195147693698,0.09157882005961687,0.09357559706485075,0.09558180345569647,0.0975968723036038,0.09962020535723363,0.1016512888529361,0.10368968632373876,0.10573491419996356,0.10778640099286367,0.10984360292588453,0.11190608581964503,0.11397343056702533,0.1160451218545951,0.1181206178528679,0.12019948140403869,0.1222813353466903,0.12436571999948506
-1.03,0.37,0.5140316779298872,0.509136755754399,0.5051276943014755,0.5019402546254924,0.4995124483750481,0.4977849801974356,0.49670153412701773,0.4962089379464689,0.49625723798643784,0.49679969876547764,0.49779274381251987,0.4991958499608126,0.5009714110518987,0.5030845897605675,0.5055031688655607,0.5081974058323043,0.5111398837647273,0.5143053557256063,0.517670585633434,0.5212141993138076,0.5249165535120448,0.5287596198988083,0.5327268704163276,0.5368031607972782,0.5409746127606013,0.5452285131908546,0.5495532325133564,0.5539381495264587,0.5583735712757273,0.5628506495350434,0.5673613069055347,0.5718981824041646,0.5764545837443343,0.5810244322897875,0.5856022034438714,0.5901828766774841,0.594761901633113,0.5993351680037494,0.603898964636378,0.6084499371496055,0.6129850578642054,0.617501608092117,0.6219971543903199,0.6264695164475914,0.6309167403048452,0.6353370854382235,0.6397290122238006,0.6440911600362258,0.6484223239699909,0.6527214450951874,0.6569876041077911,0.03441077319005786,0.035804064990672284,0.03721822126008353,0.038654273646217194,0.040112974492822306,0.0415948335660978,0.0431001611350921,0.044629109100218486,0.046181700464981816,0.04775784159805852,0.049357322658190546,0.05097982116860876,0.05262492354997126,0.05429216516382662,0.05598106998092073,0.05769116408159094,0.05942195425262939,0.06117289442474008,0.06294337900915807,0.06473278079958236,0.06654050491681203,0.06836600564128435,0.07020874456435024,0.07206813288869177,0.07394352637384129,0.07583428752164353,0.0777398470275562,0.07965968713252676,0.0815932607780378,0.08353994809062619,0.0854991132925061,0.0874701930392306,0.08945269454608192,0.09144609909563209,0.09344980525975287,0.0954631996802839,0.0974857570310228,0.09951701678707008,0.10155646611854231,0.10360351072752196,0.10565758603578312,0.10771823277049625,0.10978500907405238,0.11185738147337199,0.11393478204514325,0.11601673852897149,0.11810284976499606,0.12019264569947043,0.12228558344684864,0.1243811908507921,0.12647909373340624
-1.02,0.38,0.45918740918751544,0.4549490779853748,0.4517047622931224,0.44937258030032656,0.44787467989147606,0.4471376532367509,0.4470927387233308,0.44767585970570495,0.4488275484029634,0.4504927959981246,0.4526208591956303,0.4551650425677744,0.45808246048365137,0.461333785367698,0.46488298905457426,0.4686970925940254,0.4727459354527429,0.47700196774566817,0.4814400538284633,0.48603728000521434,0.49077276392258395,0.49562748092670517,0.5005841141365812,0.505626925048176,0.5107416293171367,0.5159152698496416,0.5211360937725782,0.5263934495026846,0.5316777034736669,0.5369801623379902,0.5422929886117536,0.5476091162408971,0.5529221821133284,0.5582264740808212,0.5635168818760677,0.5687888386523658,0.5740382636850411,0.5792615195722011,0.5844553834015415,0.5896170111290407,0.5947438959657783,0.599833831071396,0.6048848887919738,0.6098954016013575,0.6148639338835123,0.6197892517582843,0.6246703062456406,0.6295062235247247,0.6342962866628105,0.6390399125879741,0.643736638708759,0.03581513944038496,0.03719887110407742,0.038606756512324765,0.040039824148750305,0.04149874665591559,0.042983886593277745,0.04449533838343303,0.046032973450883995,0.04759649276579954,0.04918548244518002,0.05079945930002484,0.05243789265280351,0.05410020083324458,0.05578573921877347,0.05749380522256591,0.05922367246358569,0.060974637258706034,0.06274604138524009,0.06453724942732576,0.06634760165744145,0.06817639314190352,0.07002290894703132,0.07188648475756335,0.07376652611176336,0.07566245780966772,0.07757365706806395,0.0794994524581878,0.08143919693095598,0.08339232615037512,0.08535832157640803,0.08733661928189743,0.08932658671843485,0.09132760578147653,0.09333914941975499,0.09536073737497017,0.09739182888840076,0.09943181265019921,0.10148011565120386,0.10353626494450915,0.10559980006314204,0.10767017191832544,0.10974679601881572,0.11182917716719934,0.11391689490393998,0.11600946971989709,0.11810634206193703,0.12020700577859822,0.12231105921362251,0.12441807798147844,0.1265275415569555,0.12863895364490197
-1.01,0.39,0.40121374680988553,0.39754697340257344,0.395012653111641,0.393506839458903,0.39293184850865714,0.393196650522727,0.3942169717796759,0.395915193246029,0.39822010748528847,0.40106657921647965,0.4043951516901801,0.40815163416057176,0.41228669723399153,0.4167554910466727,0.42151728511516473,0.4265351221209544,0.4317754847737652,0.4372079860568898,0.44280509356570613,0.4485418893163326,0.45439585138097854,0.4603466438341904,0.46637591404321077,0.4724671083329588,0.4786053166795232,0.4847771395944115,0.4909705589073169,0.49717480680101317,0.5033802432848123,0.509578255488412,0.5157611759430311,0.5219222016500613,0.5280553078211121,0.534155165866091,0.5402170813329596,0.5462369447957335,0.5522111789329867,0.5581366779908173,0.5640107570806494,0.5698311171588936,0.5755958154373316,0.5813032255933912,0.5869519974007695,0.592541029735278,0.5980694535288934,0.6035366077962129,0.6089420096134068,0.6142853325267658,0.6195663968928123,0.6247851559928614,0.6299416742242857,0.03706438370584065,0.03843871846126926,0.03984232583254002,0.04127603039916143,0.042740162872844566,0.04423467348079796,0.045759226117643347,0.047313266798432216,0.04889606985365649,0.05050677465615232,0.052144428210397074,0.05380803837965006,0.05549662575454591,0.05720925196450229,0.058945011781528105,0.06070300305665336,0.06248230950497564,0.06428202266041418,0.06610129057333407,0.06793934707116593,0.06979548597439636,0.07166900010124122,0.07355914865998858,0.07546519330234147,0.07738646482385073,0.07932237815346758,0.08127236751110385,0.08323581466982964,0.08521206241823408,0.08720050070791328,0.08920061022423122,0.09121189597536937,0.09323379592424805,0.09526569557149075,0.09730703300367882,0.09935733932503363,0.10141614667568878,0.10348290035065166,0.10555701578382305,0.10763799482374892,0.10972541131493431,0.1118187842146059,0.11391754996129479,0.11602118616924874,0.11812927509107608,0.12024139182843446,0.12235701397081332,0.1244756189631669,0.12659679425056947,0.12872015402658088,0.13084521676809127
