delta,omega,n
-1.1,0.5396142894201169,0.7028352117664313
-1.0950000000000002,0.5279132952312011,0.6937063060818198
-1.09,0.5160670256841088,0.6839895366471707
-1.0850000000000002,0.5040861134419977,0.6736296893759388
-1.08,0.4919883969965787,0.662565732112599
-1.0750000000000002,0.47979803790060843,0.6507306762996573
-1.07,0.4675413432186766,0.6380512740783942
-1.0650000000000002,0.4552577026253262,0.6244482233267431
-1.06,0.4429921744569582,0.6098368685587062
-1.0550000000000002,0.43080139901230197,0.5941283101577604
-1.05,0.4187581462849481,0.5772319799668675
-1.0450000000000002,0.4069461432580537,0.5590593266713384
-1.04,0.3954697314016411,0.5395294785608247
-1.0350000000000001,0.38445179397969653,0.5185776781489433
-1.03,0.3740320881831127,0.49616603642351687
-1.0250000000000001,0.3643714182834207,0.4722974191753551
-1.02,0.35564295561334464,0.44703143924888894
-1.0150000000000001,0.34802434067670396,0.42050003486904547
-1.01,0.3416888236113962,0.3929200204942322
-1.0050000000000001,0.3367871641048648,0.36459776328158316
-1.0,0.3334303060876187,0.33592116809035216
-0.9950000000000001,0.3316767382942371,0.3073371949737017
-0.9900000000000001,0.3315238605639281,0.2793166716732001
-0.9850000000000001,0.3329074282112749,0.2523123668999161
-0.9800000000000001,0.335710713983843,0.22671932336699457
-0.9750000000000001,0.3397799665975526,0.20284573814047732
-0.9700000000000001,0.3449416187414597,0.18089878530265727
-0.9650000000000001,0.35101787310335975,0.1609851418334329
-0.9600000000000001,0.3578386640388447,0.14312261738953344
-0.9550000000000001,0.3652493508506163,0.12725799432003168
-0.9500000000000001,0.37311453339129236,0.11328663589122469
-0.9450000000000001,0.38131895116859926,0.10107076190979525
-0.9400000000000001,0.3897665131827837,0.09045473816563537
-0.935,0.39837832818997904,0.08127685101613762
-0.93,0.4070903479189877,0.07337773566228026
-0.925,0.4158509989254558,0.06660596571587903
-0.92,0.4246190059438041,0.060821412600826
-0.915,0.4333614942045377,0.05589695271137979
-0.91,0.4420523916969906,0.05171901176312775
-0.905,0.4506711150642748,0.04818733263785403
-0.9,0.4592015064693338,0.0452142568842767
-0.895,0.4676309837150672,0.04272372945543903
-0.89,0.4759498646525859,0.04065017283793369
-0.885,0.48415083319284397,0.038937328858457104
-0.8800000000000001,0.49222851596571454,0.03753713142581919
-0.875,0.5001791456454967,0.036408648476057494
-0.8700000000000001,0.5080002883125616,0.03551711397405482
-0.865,0.5156906250732265,0.03483305898832652
-0.86,0.5232497662554062,0.034331543052135274
-0.855,0.5306780968364085,0.03399148209049532
-0.8500000000000001,0.5379766428059485,0.03379506627134425
-0.845,0.5451469544055458,0.03372725960569906
-0.8400000000000001,0.5521910036174479,0.03377537252494031
-0.835,0.5591110933761958,0.03392869868204222
-0.8300000000000001,0.565909778091649,0.03417820762822471
-0.825,0.5725897937644207,0.03451628564720696
-0.8200000000000001,0.5791539981152645,0.03493651777386975
-0.815,0.5856053190858769,0.03543350480809576
-0.81,0.5919467124804965,0.036002709906465785
-0.8049999999999999,0.5981811268791993,0.03664033006488697
-0.8,0.6043114756525747,0.03734318847470289
-0.795,0.6103406153917558,0.03810864433594714
-0.79,0.6162713295321921,0.03893451724103988
-0.785,0.6221063168035473,0.03981902370321495
-0.78,0.6278481832872528,0.04076072380032535
-0.775,0.6334994375689443,0.04175847624247278
-0.77,0.6390624886309512,0.04281140045751417
-0.765,0.6445396451305823,0.04391884452895586
-0.76,0.6499331165405879,0.04508035802116321
-0.755,0.6552450150494689,0.04629566889424492
-0.75,0.6604773583421475,0.04756466384922242
-0.745,0.6656320725948475,0.04888737155845834
-0.74,0.6707109961406371,0.05026394833070837
-0.7350000000000001,0.6757158827269685,0.05169466583700612
-0.73,0.6806484054505894,0.05317990058725372
-0.7250000000000001,0.685510159859281,0.054720124898815295
-0.72,0.690302668078193,0.05631589914091168
-0.7150000000000001,0.6950273816711702,0.05796786507289642
-0.71,0.6996856851302234,0.05967674012296911
-0.7050000000000001,0.704278899215681,0.061443312476717964
-0.7,0.7088082835928162,0.06326843686456211
-0.6950000000000001,0.7132750400270662,0.06515303095232315
-0.69,0.7176803150295187,0.06709807225291742
-0.685,0.7220252026401601,0.06910459548822556
-0.6799999999999999,0.7263107468628829,0.07117369033945506
-0.675,0.7305379440420624,0.07330649953272361
-0.67,0.734707745363206,0.07550421721348051
-0.665,0.7388210584081216,0.07776808756943537
-0.66,0.7428787501976754,0.08009940366704597
-0.655,0.7468816482045977,0.08249950647122438
-0.65,0.7508305426085279,0.08496978402189131
-0.645,0.7547261880217266,0.08751167074463867
-0.64,0.7585693047291783,0.09012664687564642
-0.635,0.7623605807105287,0.09281623798386188
-0.63,0.7661006723293085,0.09558201457546966
-0.625,0.7697902062695474,0.09842559176777925
-0.6199999999999999,0.7734297801484803,0.10134862902104608
-0.615,0.7770199641049989,0.10435282991868108
-0.6099999999999999,0.7805613012595033,0.10743994198652683
-0.605,0.7840543090284035,0.11061175654376416
