delta,omega,n
-1.1,0.5366080854115627,0.5793964407707639
-1.0950000000000002,0.5248637871119557,0.5675343207944898
-1.09,0.5129630487326874,0.5549930137229468
-1.0850000000000002,0.5009175679277673,0.5417183960193331
-1.08,0.48874318343783224,0.527652567873429
-1.0750000000000002,0.47646085494282603,0.5127342411231425
-1.07,0.46409779269370044,0.4968995102375615
-1.0650000000000002,0.4516887900922275,0.4800831787284301
-1.06,0.43927788135611723,0.4622208718444152
-1.0550000000000002,0.4269202167764049,0.44325223335147224
-1.05,0.41468417146770475,0.4231255712692381
-1.0450000000000002,0.4026536445809033,0.401804362869519
-1.04,0.3909303170557343,0.3792760107001531
-1.0350000000000001,0.37963553068989525,0.35556308825384836
-1.03,0.3689112419309916,0.33073691982718184
-1.0250000000000001,0.358919185339576,0.30493258510473803
-1.02,0.34983722254361493,0.2783632532292487
-1.0150000000000001,0.3418517797944503,0.25133024849441044
-1.01,0.33514575092971133,0.22422391911599251
-1.0050000000000001,0.3298822902395549,0.19751017363003964
-1.0,0.3261865887463075,0.1716996059070508
-0.9950000000000001,0.3241293389538795,0.14730090541188606
-0.9900000000000001,0.3237162642485391,0.1247664779535729
-0.9850000000000001,0.3248868762538257,0.10444280456517252
-0.9800000000000001,0.3275229059187038,0.08653793212143437
-0.9750000000000001,0.33146384110480087,0.07111305956418879
-0.9700000000000001,0.3365252842187608,0.05809725207118405
-0.9650000000000001,0.3425160317394093,0.04731796448978261
-0.9600000000000001,0.34925127604236017,0.03853773018349888
-0.9550000000000001,0.356561124995409,0.03148879974496572
-0.9500000000000001,0.3642949526926728,0.025900799865317042
-0.9450000000000001,0.3723227004162926,0.02151975266173038
-0.9400000000000001,0.38053432261987,0.018119058406896173
-0.935,0.388838332238083,0.015504153728140962
-0.93,0.3971600970383362,0.013512806102727067
-0.925,0.405440228969007,0.01201277445804792
-0.92,0.41363318120943887,0.010898151070936467
-0.915,0.4217059965966117,0.010085277399271593
-0.91,0.42963706196744883,0.00950877594388506
-0.905,0.437414705890889,0.009117983218493728
-0.9,0.44503553785491123,0.008873897984122824
-0.895,0.45250253832859516,0.008746655999706556
-0.89,0.45982303193426344,0.008713488210588155
-0.885,0.4670067658302812,0.008757096629490368
-0.8800000000000001,0.4740642707207896,0.008864378006836699
-0.875,0.48100567676834943,0.009025430472060194
-0.8700000000000001,0.487839985314268,0.009232786893525058
-0.865,0.49457474456615114,0.009480827742572388
-0.86,0.5012160192159517,0.00976533454316845
-0.855,0.5077685368694216,0.010083152245946763
-0.8500000000000001,0.5142359160843639,0.01043193511082297
-0.845,0.5206209109712531,0.010809955997397022
-0.8400000000000001,0.5269256357838821,0.011215963411153438
-0.835,0.533151751030346,0.011649074297018617
-0.8300000000000001,0.5393006107912098,0.01210869348591292
-0.825,0.5453733697188432,0.012594452978759184
-0.8200000000000001,0.5513710631615146,0.013106165998772918
-0.815,0.5572946586426588,0.013643792060425321
-0.81,0.5631450926792355,0.014207410284738183
-0.8049999999999999,0.5689232922330851,0.014797198915386072
-0.8,0.5746301873489081,0.015413419522390202
-0.795,0.5802667186224707,0.016056404770485158
-0.79,0.585833838833989,0.016726548915495923
-0.785,0.5913325128830392,0.017424300402253783
-0.78,0.5967637163226535,0.018150156092959977
-0.775,0.6021284314103401,0.01890465676978451
-0.77,0.6074276456024713,0.019688383641001363
-0.765,0.6126623463359486,0.020501955643977828
-0.76,0.6178335187136657,0.02134602738596825
-0.755,0.622942143164599,0.02222128760008038
-0.75,0.6279891910723381,0.023128458020668114
-0.745,0.6329756233597659,0.024068292603469956
-0.74,0.6379023886312428,0.025041577031556274
-0.7350000000000001,0.6427704198750352,0.026049128460317008
-0.73,0.6475806343415473,0.027091795464616656
-0.7250000000000001,0.6523339314721185,0.028170458158231968
-0.72,0.6570311930526158,0.02928602846225368
-0.7150000000000001,0.6616732770310771,0.030439450503195294
-0.71,0.6662610253606221,0.03163170112581356
-0.7050000000000001,0.6707952569379759,0.032863790508350234
-0.7,0.6752767689666607,0.03413676287044912
-0.6950000000000001,0.6797063369122479,0.035451697265860074
-0.69,0.6840847137359214,0.03680970845348395
-0.685,0.6884126294392586,0.03821194784164383
-0.6799999999999999,0.6926907914640568,0.03965960450127625
-0.675,0.6969198847713716,0.04115390624472177
-0.67,0.7011005711199343,0.042696120767210154
-0.665,0.7052334890545273,0.04428755684865019
-0.66,0.7093192542859174,0.04592956561418249
-0.655,0.7133584601098366,0.047623541851360474
-0.65,0.7173516761673999,0.04937092538347022
-0.645,0.7212994496208206,0.051173202497202544
-0.64,0.7252023050340966,0.053031907424295525
-0.635,0.729060743617993,0.05494862387624916
-0.63,0.7328752445679912,0.056924986631139256
-0.625,0.736646263924286,0.05896268317206298
-0.6199999999999999,0.7403742356800317,0.06106345537649654
-0.615,0.7440595706169545,0.06322910125527695
-0.6099999999999999,0.7477026573075153,0.0654614767409804
-0.605,0.751303862235731,0.06776249752380792
