delta,omega,nbose,pe
-1.1,0.5396142894201169,0.03816292899350905,0.05362349780308537
-1.0950000000000002,0.5279132952312011,0.03561343553770063,0.05198074162205711
-1.09,0.5160670256841088,0.0331279805739385,0.050314459248421345
-1.0850000000000002,0.5040861134419977,0.030711819560818865,0.04862779765958632
-1.08,0.4919883969965787,0.028370870765996106,0.046925223598973644
-1.0750000000000002,0.47979803790060843,0.026111385169486002,0.04521231561167849
-1.07,0.4675413432186766,0.023939255935693435,0.0434949900480171
-1.0650000000000002,0.4552577026253262,0.021861092590016014,0.04178130125544571
-1.06,0.4429921744569582,0.019883068559784736,0.04008006375756235
-1.0550000000000002,0.43080139901230197,0.018011299202178015,0.03840173221570593
-1.05,0.4187581462849481,0.016251902842708915,0.036758984140019185
-1.0450000000000002,0.4069461432580537,0.014610145886690157,0.035165678120617154
-1.04,0.3954697314016411,0.013090945447539276,0.03363823070895859
-1.0350000000000001,0.38445179397969653,0.011698282655450393,0.03219505929401317
-1.03,0.3740320881831127,0.010434811368009287,0.030856160487663997
-1.0250000000000001,0.3643714182834207,0.009301982041873835,0.029643687846785928
-1.02,0.35564295561334464,0.008299448266367172,0.0285806713264707
-1.0150000000000001,0.34802434067670396,0.00742489114877267,0.027690117747811976
-1.01,0.3416888236113962,0.006674072014323868,0.026994224761793594
-1.0050000000000001,0.3367871641048648,0.006040706789994321,0.026512442136099046
-1.0,0.3334303060876187,0.005516658208208226,0.02625977816395467
-0.9950000000000001,0.3316767382942371,0.005092442436848932,0.026245696131250346
-0.9900000000000001,0.3315238605639281,0.004757752821395486,0.026473249514602365
-0.9850000000000001,0.3329074282112749,0.004502055637514457,0.02693889975643919
-0.9800000000000001,0.335710713983843,0.004315179503535455,0.027633268098120386
-0.9750000000000001,0.3397799665975526,0.004187794806801936,0.02854250242907942
-0.9700000000000001,0.3449416187414597,0.004111699901368907,0.029649847071016432
-0.9650000000000001,0.35101787310335975,0.004079930280559652,0.03093713877529251
-0.9600000000000001,0.3578386640388447,0.004086742017561315,0.03238605022255703
-0.9550000000000001,0.3652493508506163,0.004127506494420851,0.033978994147084524
-0.9500000000000001,0.37311453339129236,0.004198558174546468,0.03569968470654843
-0.9450000000000001,0.38131895116859926,0.004297038620667482,0.03753341482513912
-0.9400000000000001,0.3897665131827837,0.004420739582146851,0.0394671278685493
-0.935,0.39837832818997904,0.004567969107027882,0.04148935926412523
-0.93,0.4070903479189877,0.0047374408475174875,0.043590106548248915
-0.925,0.4158509989254558,0.004928180058466658,0.045760667859005906
-0.92,0.4246190059438041,0.005139451329200417,0.047993474985413516
-0.915,0.4333614942045377,0.005370701215660192,0.0502819353856688
-0.91,0.4420523916969906,0.005621514348530803,0.05262029070798331
-0.905,0.4506711150642748,0.005891580616253827,0.05500349460758239
-0.9,0.4592015064693338,0.006180669737412432,0.057427109922416134
-0.895,0.4676309837150672,0.006488612100615336,0.05988722384139622
-0.89,0.4759498646525859,0.006815285499190335,0.06238037866688761
-0.885,0.48415083319284397,0.007160609707142714,0.06490351627174647
-0.8800000000000001,0.49222851596571454,0.007524536300643724,0.0674539325404016
-0.875,0.5001791456454967,0.007907048422741286,0.07002924074722917
-0.8700000000000001,0.5080002883125616,0.008308159399472376,0.07262734040143345
-0.865,0.5156906250732265,0.00872791050817441,0.07524639135452389
-0.86,0.5232497662554062,0.009166374423925287,0.07788479002380293
-0.855,0.5306780968364085,0.009623653815613484,0.08054114780308907
-0.8500000000000001,0.5379766428059485,0.010099882781649276,0.08321427069972977
-0.845,0.5451469544055458,0.010595227166509532,0.08590313960336407
-0.8400000000000001,0.5521910036174479,0.011109885122790228,0.08860689127847336
-0.835,0.5591110933761958,0.011644086003183564,0.09132479978655542
-0.8300000000000001,0.565909778091649,0.012198090699743909,0.09405625889461582
-0.825,0.5725897937644207,0.01277218858023077,0.09680076510765283
-0.8200000000000001,0.5791539981152645,0.013366699432227184,0.0995579023084289
-0.815,0.5856053190858769,0.01398196815299303,0.10232732703360728
-0.81,0.5919467124804965,0.014618365967514525,0.10510875586755364
-0.8049999999999999,0.5981811268791993,0.015276286764897312,0.10790195377077448
-0.8,0.6043114756525747,0.015956148169484607,0.11070672426213414
-0.795,0.6103406153917558,0.01665838646452513,0.11352290064250388
-0.79,0.6162713295321921,0.01738345934508081,0.11635033897659891
-0.785,0.6221063168035473,0.018131841373466347,0.11918891185330897
-0.78,0.6278481832872528,0.018904025636283905,0.122038503563121
-0.775,0.6334994375689443,0.019700521743636214,0.12489900590585205
-0.77,0.6390624886309512,0.020521855036807205,0.12777031499780542
-0.765,0.6445396451305823,0.02136856748334707,0.13065232861745985
-0.76,0.6499331165405879,0.022241216037306073,0.133544944086846
-0.755,0.6552450150494689,0.023140374181758995,0.13644805668553442
-0.75,0.6604773583421475,0.024066630019537055,0.13936155822830856
-0.745,0.6656320725948475,0.025020587648757423,0.14228533606013882
-0.74,0.6707109961406371,0.026002867081588228,0.14521927227625556
-0.7350000000000001,0.6757158827269685,0.02701410426761665,0.14816324294816707
-0.73,0.6806484054505894,0.028054951222727074,0.15111711766507568
-0.7250000000000001,0.685510159859281,0.02912607701031063,0.15408075901402934
-0.72,0.690302668078193,0.03022816672520797,0.1570540223317981
-0.7150000000000001,0.6950273816711702,0.0313619244188999,0.1600367554136839
-0.71,0.6996856851302234,0.03252807084303212,0.16302879820650076
-0.7050000000000001,0.704278899215681,0.033727345309024326,0.16602998275702405
-0.7,0.7088082835928162,0.034960506043473866,0.16904013295621143
-0.6950000000000001,0.7132750400270662,0.036228330929359336,0.17205906457434827
