delta,omega,nbose,pe
-1.4,2.7906133287846617,0.05882348684340111,0.01843642187376222
-1.39,2.7629525137205992,0.05693000535243081,0.01819179398321304
-1.38,2.732566518562269,0.05499938871392262,0.017910582425692267
-1.3699999999999999,2.5863703097812056,0.050399422595076654,0.01609566597520373
-1.3599999999999999,2.5505372842128784,0.04846536645256661,0.015755490369777102
-1.3499999999999999,2.5186297476677857,0.04665254795690665,0.0154672959193154
-1.3399999999999999,2.4885257680825448,0.04491125306557304,0.015203239490061493
-1.3299999999999998,2.4588179725460266,0.04321039763975982,0.0149452217680597
-1.3199999999999998,2.4292863841052506,0.04154532210327638,0.014690411733488234
-1.3099999999999998,2.3995677009702376,0.03990886600351198,0.01443426361397201
-1.2999999999999998,2.3694221870032064,0.0382968505439869,0.014173866868885696
-1.29,2.3384828740928025,0.03670301544444325,0.013904829620350728
-1.28,2.306635318017211,0.035126430170992935,0.013625967073007887
-1.27,2.2728586079202575,0.03354960210202575,0.01332520888756782
-1.26,2.236679545164873,0.031966606940517006,0.012997502332361705
-1.25,2.1934929967266257,0.030299732746086574,0.012589333061260045
-1.24,2.1007712891229855,0.02784684305814328,0.011616550914253917
-1.23,2.0329868642189446,0.02590395240093356,0.01095204798959219
-1.22,1.9884095983434311,0.024388362143331482,0.010554044730462672
-1.21,1.9473597784625043,0.022972693183182097,0.010198827213860564
-1.2,1.9071335960425126,0.021613707600125823,0.009856282270166857
-1.19,1.8660184546833654,0.020286716077511233,0.009508287262771822
-1.18,1.8229447228033098,0.018978627967413557,0.009144385720292728
-1.17,1.77437055098023,0.017645452335954288,0.008730129189689417
-1.16,1.7134109978693168,0.016207840391028558,0.008201837326542193
-1.15,1.6223221769263616,0.01447589007781993,0.007404813917540029
-1.14,1.5560604772151572,0.01312690340744387,0.006864483900108177
-1.13,1.5010708412368645,0.011970316790020549,0.0064388529819412775
-1.1199999999999999,1.4465702907605051,0.010878998822724462,0.006028157454982346
-1.1099999999999999,1.3882483536278782,0.009810441926141484,0.00559701939902766
-1.1,1.316699109175492,0.00868358429494444,0.005075390968198536
-1.0899999999999999,1.229325062100874,0.00749959557225003,0.004459214799453604
-1.08,1.1504094839238517,0.006480854423838732,0.003937116473257575
-1.0699999999999998,1.0788134870500226,0.0056033665476694135,0.0034915579451930447
-1.06,1.0054166707844139,0.004793099901913931,0.0030585905336973913
-1.0499999999999998,0.9197546513303257,0.0039883755503652306,0.0025815277323555344
-1.04,0.8302988671476048,0.003259129566514947,0.0021220740540502975
-1.0299999999999998,0.7487245092595153,0.002670309369431823,0.001741016653806084
-1.02,0.6716897191313678,0.0021940022650264847,0.0014140059401248205
-1.01,0.6070614644890695,0.001854877110069748,0.0011658536752087707
-0.9999999999999999,0.5752287730092464,0.001713080923701479,0.0010570304732561158
-0.99,0.588814553458716,0.0017970854836108414,0.001118874743908392
-0.98,0.6443943189728019,0.002106731669062037,0.0013543780445032226
-0.97,0.7124964839155833,0.002550123397924746,0.001673908658147002
-0.96,0.7884768778171183,0.0031229666605963346,0.0020729502886176815
-0.95,0.8615729624681371,0.0037779798480227617,0.0025033063039651853
-0.94,0.9331910215819577,0.004522317004874758,0.0029707777638710354
-0.9299999999999999,1.0057097498155563,0.005373027103339795,0.003491150708152559
-0.9199999999999999,1.0790995908041392,0.006334746215490461,0.004067611395123763
-0.9099999999999999,1.1497501760634397,0.007383522176505498,0.0046740559477184175
-0.8999999999999999,1.2163134454987494,0.008506758230797211,0.005295586895544321
-0.8899999999999999,1.278955049433701,0.009702885470319163,0.0059283410334923575
-0.8799999999999999,1.3371804892460684,0.01096448470780694,0.006562330135743685
-0.87,1.3933125948700946,0.012312202871315663,0.007216120015240475
-0.86,1.4481920764774563,0.013755850621180805,0.00789711547408111
-0.85,1.5016840262058868,0.015296154779750529,0.00860326420909388
-0.84,1.5544314235935224,0.016943024798535527,0.009341730035123596
-0.83,1.6070745638216493,0.018708060789957213,0.010121183819441945
-0.82,1.6576149188397304,0.020569905807554873,0.01091636597569422
-0.8099999999999999,1.7082516118388513,0.022560507051554452,0.011756262707842571
-0.8,1.7555790000292226,0.024636512882563705,0.012592850207781815
-0.79,1.8024957690095038,0.026841391013191048,0.013466324652894861
-0.7799999999999999,1.845772433195312,0.029129509949439223,0.014326209115819326
-0.7699999999999999,1.8884289874409248,0.031549923412945734,0.015217702392218188
-0.76,1.9282050157161972,0.03406925839972673,0.016102512073238276
-0.75,1.96642720734145,0.03671237261354518,0.01700076876971744
-0.74,2.003449466900555,0.039489986241025864,0.01791794012948349
-0.73,2.037692210066963,0.042376540706529006,0.018823261529107366
-0.72,2.0715207423429685,0.04542174222466215,0.019760177602466872
-0.71,2.1030808669956196,0.04859423287971125,0.02069172491872086
-0.7,2.1327875975756885,0.051906645623393685,0.02162410255025626
-0.6900000000000001,2.1619461704757645,0.0553935296812512,0.02258407549451768
-0.6799999999999999,2.188606498597994,0.05901743593622338,0.0235284734256934
-0.67,2.213913549256707,0.06281033760429332,0.024480758852793157
-0.6599999999999999,2.2385655839155927,0.06679741742493257,0.025456838605204698
-0.6499999999999999,2.2612120092883385,0.07095278935928499,0.026424017950520993
-0.64,2.282846500347145,0.07531027021480609,0.027405302460509692
-0.6299999999999999,2.3040344119081233,0.07989613197667876,0.028415380351917582
-0.62,2.3240708957582923,0.08470207955313255,0.02943647460580219
-0.61,2.3434234582775733,0.08975378177247988,0.030481177871877346
-0.5999999999999999,2.362348345887264,0.09507331318244655,0.03155757196342158
-0.59,2.3804674959536367,0.10066379544238095,0.032656029816423376
