delta,omega,n
-1.4,2.7906133287846617,0.14364761487580263
-1.39,2.7629525137205992,0.13842021599651183
-1.38,2.732566518562269,0.13324200329564131
-1.3699999999999999,2.5863703097812056,0.12810967269920873
-1.3599999999999999,2.5505372842128784,0.12285563655800713
-1.3499999999999999,2.5186297476677857,0.11766197285125798
-1.3399999999999999,2.4885257680825448,0.11253588791417642
-1.3299999999999998,2.4588179725460266,0.10748675874835767
-1.3199999999999998,2.4292863841052506,0.10251859100663183
-1.3099999999999998,2.3995677009702376,0.09763790590169803
-1.2999999999999998,2.3694221870032064,0.09285007916927179
-1.29,2.3384828740928025,0.08815811080804017
-1.28,2.306635318017211,0.08356827956331044
-1.27,2.2728586079202575,0.07908156569001941
-1.26,2.236679545164873,0.07470088981644368
-1.25,2.1934929967266257,0.070424082361637
-1.24,2.1007712891229855,0.06622601328345036
-1.23,2.0329868642189446,0.0620333270027743
-1.22,1.9884095983434311,0.05794502185311993
-1.21,1.9473597784625043,0.05398075713337978
-1.2,1.9071335960425126,0.05015425459319455
-1.19,1.8660184546833654,0.046467166295001895
-1.18,1.8229447228033098,0.04292479881222475
-1.17,1.77437055098023,0.03952429972788918
-1.16,1.7134109978693168,0.03625470106153699
-1.15,1.6223221769263616,0.033070257493912354
-1.14,1.5560604772151572,0.029982637241715293
-1.13,1.5010708412368645,0.02704011588445861
-1.1199999999999999,1.4465702907605051,0.02426286872911856
-1.1099999999999999,1.3882483536278782,0.02164900401031312
-1.1,1.316699109175492,0.019192313939790547
-1.0899999999999999,1.229325062100874,0.016859338177738874
-1.08,1.1504094839238517,0.014651254932875613
-1.0699999999999998,1.0788134870500226,0.012612839402116943
-1.06,1.0054166707844139,0.010753221699903894
-1.0499999999999998,0.9197546513303257,0.009067249795742265
-1.04,0.8302988671476048,0.007547981656435498
-1.0299999999999998,0.7487245092595153,0.006221140956427033
-1.02,0.6716897191313678,0.00513042703099716
-1.01,0.6070614644890695,0.004331820389660047
-0.9999999999999999,0.5752287730092464,0.003908321341554934
-0.99,0.588814553458716,0.003924296715864666
-0.98,0.6443943189728019,0.004310546147034414
-0.97,0.7124964839155833,0.004949304967242326
-0.96,0.7884768778171183,0.005769371542190307
-0.95,0.8615729624681371,0.006739864439621641
-0.94,0.9331910215819577,0.007844397562149137
-0.9299999999999999,1.0057097498155563,0.009077226537588272
-0.9199999999999999,1.0790995908041392,0.010430078961944601
-0.9099999999999999,1.1497501760634397,0.011899625365598422
-0.8999999999999999,1.2163134454987494,0.013486269509394327
-0.8899999999999999,1.278955049433701,0.01519999786822028
-0.8799999999999999,1.3371804892460684,0.017046614103534093
-0.87,1.3933125948700946,0.019031243256069287
-0.86,1.4481920764774563,0.02116097110709131
-0.85,1.5016840262058868,0.023438049405284628
-0.84,1.5544314235935224,0.025869782514347545
-0.83,1.6070745638216493,0.028457803714947605
-0.82,1.6576149188397304,0.031212888288041342
-0.8099999999999999,1.7082516118388513,0.03413578964530818
-0.8,1.7555790000292226,0.03724166423803523
-0.79,1.8024957690095038,0.04053314997211859
-0.7799999999999999,1.845772433195312,0.04402430263498922
-0.7699999999999999,1.8884289874409248,0.047724458018989696
-0.76,1.9282050157161972,0.05164089303948444
-0.75,1.96642720734145,0.05579133137720521
-0.74,2.003449466900555,0.06017862699378057
-0.73,2.037692210066963,0.0648209810803022
-0.72,2.0715207423429685,0.06972864675533938
-0.71,2.1030808669956196,0.0749092365686128
-0.7,2.1327875975756885,0.08038381321083185
-0.6900000000000001,2.1619461704757645,0.08615783697917641
-0.6799999999999999,2.188606498597994,0.09224493933875104
-0.67,2.213913549256707,0.09866457254603934
-0.6599999999999999,2.2385655839155927,0.10542179423272566
-0.6499999999999999,2.2612120092883385,0.11253295659995778
-0.64,2.282846500347145,0.12001668255214533
-0.6299999999999999,2.3040344119081233,0.12788066976371423
-0.62,2.3240708957582923,0.13614295565765044
-0.61,2.3434234582775733,0.14482318624112264
-0.5999999999999999,2.362348345887264,0.15393348895657433
-0.59,2.3804674959536367,0.1634942531142985
-0.58,2.397882366650421,0.17352580108816565
-0.5700000000000001,2.4144907953670116,0.18404294272702967
-0.5599999999999999,2.4299928524489784,0.19506684160787466
-0.55,2.4443222423503306,0.20661517214756409
-0.54,2.457066979066186,0.21869945288924242
-0.5299999999999999,2.4678819565110715,0.23133670628992545
-0.52,2.4769290343048604,0.24453794511250074
-0.51,2.484052278579626,0.2583041198581781
