delta,omega,n
-1.4,2.8647472314984093,0.24177669906432966
-1.39,2.838022851349618,0.23504921433457077
-1.38,2.8108925782178615,0.2282844362438058
-1.3699999999999999,2.7880247437540953,0.2215382344170778
-1.3599999999999999,2.7626418735126532,0.21483411210127643
-1.3499999999999999,2.7306013965425815,0.20809578164237696
-1.3399999999999999,2.7051793765051304,0.2013416015713474
-1.3299999999999998,2.6816563694127096,0.19466884737701112
-1.3199999999999998,2.647585489252098,0.18802061060919556
-1.3099999999999998,2.6160051644282007,0.18132574974278448
-1.2999999999999998,2.5915078049423186,0.17470432733741437
-1.29,2.558075355469775,0.16816748343082494
-1.28,2.517966580178638,0.1616064979648587
-1.27,2.487361964797929,0.1550866967701839
-1.26,2.449837232369936,0.14866760039866822
-1.25,2.384011663514773,0.14224391898982006
-1.24,2.251590839606242,0.13576636560410357
-1.23,2.206584231384297,0.12925939418320642
-1.22,2.1520152197850666,0.12277233079473351
-1.21,2.1189562215050337,0.11638679769379856
-1.2,2.0763654101887643,0.11014133258795406
-1.19,2.0324714112850097,0.10395258491524083
-1.18,1.9944955716282913,0.09788866682337305
-1.17,1.9558252393190583,0.09199660914593014
-1.16,1.9067272526248624,0.0862385536960645
-1.15,1.8590207238386294,0.08055327658273768
-1.14,1.823265966781788,0.0751076677206779
-1.13,1.7373646901214725,0.06977607199644682
-1.1199999999999999,1.693762619320827,0.06454196148753975
-1.1099999999999999,1.5731586635830759,0.05942413867265323
-1.1,1.4940600509666244,0.05436439746502541
-1.0899999999999999,1.4379734910575694,0.049495011874585944
-1.08,1.3574025617358718,0.04484309238864395
-1.0699999999999998,1.3007989444323453,0.040374198405889766
-1.06,1.2299971243868446,0.03630248982544071
-1.0499999999999998,1.1403869287562989,0.03230555303587703
-1.04,1.0626863622696847,0.028744435168790237
-1.0299999999999998,0.9487469877264194,0.025312463360637097
-1.02,0.8631080730137685,0.022524876836348143
-1.01,0.8052301345120347,0.020264349388441388
-0.9999999999999999,0.7721541753462737,0.01890176327440662
-0.99,0.795759346651134,0.018556866110138973
-0.98,0.8450977132758207,0.0190752748698395
-0.97,0.9406919082621774,0.02013519885750492
-0.96,0.9805616663901562,0.021697215224722795
-0.95,1.1003419229866813,0.023563386265840643
-0.94,1.1545508038544554,0.02560304725115926
-0.9299999999999999,1.2253768229931785,0.02800000852577859
-0.9199999999999999,1.3280894423965528,0.030355838495852782
-0.9099999999999999,1.3715257722653278,0.03304719723136285
-0.8999999999999999,1.466829581170948,0.035925414400752316
-0.8899999999999999,1.5193582866508368,0.038852179675383354
-0.8799999999999999,1.5644915337246441,0.0420925224321725
-0.87,1.6306327899404198,0.045538827827521805
-0.86,1.6827439011728722,0.04909752343969834
-0.85,1.7296131163726145,0.05287884967608152
-0.84,1.7743586721936417,0.05693808193265545
-0.83,1.8230623722736914,0.06119950636721204
-0.82,1.8737793838678722,0.06560180728806186
-0.8099999999999999,1.910974133554847,0.07026108371786982
-0.8,1.946190062303857,0.07524248045856578
-0.79,1.9936254516168583,0.08042488672123074
-0.7799999999999999,2.036781086889885,0.08575550093834379
-0.7699999999999999,2.0653594430013045,0.09140869474084312
-0.76,2.096430289460138,0.09741174803102957
-0.75,2.1385655514888087,0.10363016707954761
-0.74,2.1751326049231374,0.11003260378791975
-0.73,2.2001412571472487,0.11678405356319069
-0.72,2.2265470170184734,0.12391776444042586
-0.71,2.260633530335742,0.13132219400361422
-0.7,2.293166581818771,0.13894874345332964
-0.6900000000000001,2.3169367474823472,0.14692272478042723
-0.6799999999999999,2.338974831114996,0.15531125137478952
-0.67,2.3648548407157874,0.16404646871085368
-0.6599999999999999,2.3921530439527556,0.1730601714434077
-0.6499999999999999,2.414523827556906,0.1824125764353596
-0.64,2.4328415567123582,0.19219133739847402
-0.6299999999999999,2.4514707067222967,0.202382630539585
-0.62,2.4712430727364634,0.21292020650430069
-0.61,2.4888667614702866,0.22380047167748213
-0.5999999999999999,2.50241502814012,0.2350872516467918
-0.59,2.5138478232208192,0.24680954510078862
-0.58,2.5252211116275634,0.25892869197530216
-0.5700000000000001,2.535848639030149,0.27140351662265694
-0.5599999999999999,2.5440207019198833,0.28424991258720883
-0.55,2.55013190536275,0.2975133527373476
-0.54,2.556255377871083,0.3112062324077521
-0.5299999999999999,2.5634632886140802,0.3252990834497612
-0.52,2.5706356506805603,0.33977169280656816
-0.51,2.5762998865299718,0.3546546100655293
