list_T,list_ZERO,list_40,list_90,list_150,list_250
0,0.9902248289345064,0.9902248289345064,0.9902248289345064,0.9902248289345064,0.9902248289345064
5,0.7747243605517065,0.5732498046918901,0.6991147287243152,0.7791586919638768,0.8561737391337629
10,0.6111293371996472,0.33211282699130557,0.5048806057983106,0.6129300966359018,0.7089056026615133
15,0.4902674267536011,0.19192489173871718,0.36244057765987575,0.48938313983095916,0.6076057428289674
20,0.3918117296594885,0.11271955704816976,0.2588993390688087,0.3891819376212755,0.5222705134058558
25,0.31216869287049565,0.06856233267614371,0.18417146105076754,0.30843861462506506,0.44777716994727734
30,0.24817778870533838,0.04432136035278034,0.13082461599071502,0.24383907701137447,0.38332628007096825
35,0.19688102345136815,0.031103137322462712,0.09290764110825364,0.19229469477291863,0.32761260340750664
40,0.155986444559906,0.023967838105480144,0.06616107644114583,0.15140497726760277,0.27963561674438586
45,0.12342621500365195,0.020131551376062592,0.04734682364759559,0.11902392433675699,0.2383567882229135
50,0.09761101378516505,0.01808398263964244,0.034188100740108716,0.09349563804080054,0.20296021462510325
55,0.07716023604629763,0.016993834591825196,0.025002691169777887,0.07339384413721947,0.17262709379151975
60,0.06101551933262738,0.016416606608638605,0.01862004087839876,0.0576230336295337,0.146706102477234
65,0.04827700668646246,0.016111421169023723,0.0141912562218307,0.04526073847106962,0.12456417570262886
70,0.038255458222714187,0.015950743659263453,0.011129717018075204,0.03560005352764797,0.10569576400549353
75,0.03037423381668788,0.015866215836686695,0.009015615169407602,0.0280554582029144,0.08962119222862949
80,0.024191787940814818,0.015821892719797902,0.0075603258587344235,0.02217895107219499,0.07595563016460236
85,0.01934318089250767,0.015798659088017978,0.00655936967037719,0.017604021346688002,0.06434017849856968
90,0.015548967630833516,0.01578651134282488,0.005872730673557695,0.014050543898447631,0.054485696098547635
95,0.01258039483959713,0.015780160019045735,0.0054020000334078005,0.011291559227953786,0.04612622542206555
100,0.010262278709889274,0.015776846006068115,0.005080014738377322,0.00915375088982515,0.03904678999834566
105,0.00845233165407832,0.015775116513052818,0.004859873144103634,0.00749779388294366,0.03305186214821787
110,0.007041573141375203,0.015774215400323803,0.0047096521455943265,0.006217373337242536,0.027982946382702056
115,0.005942062754913902,0.015773745761085586,0.004607176533267397,0.0052275793585115195,0.02369721989582168
120,0.005086438800022175,0.015773501317126855,0.004537386613894351,0.00446366453901805,0.020078630021236693
125,0.004420644920511455,0.015773374041315357,0.00448986687005095,0.003874200663111811,0.017023415745033188
130,0.0039032718246684245,0.01577330784307996,0.004457556737709269,0.003419996997918009,0.014447090422329164
135,0.003501247422772192,0.015773273399411328,0.004435590730385193,0.0030700706527286214,0.012274619880754843
140,0.003189236405731077,0.01577325549382387,0.004420675427755224,0.0028008255193127988,0.01044480014298644
145,0.0029470879882870274,0.015773246182089636,0.004410548182946432,0.0025936828427619687,0.008903588998675858
150,0.0027593651944935473,0.015773241343104424,0.004403679217016541,0.0024345012189061982,0.007606838591514332
155,0.0026138344004594783,0.015773238827545544,0.0043990202081516,0.0023121854252150294,0.006515764201578276
160,0.0025011236902620455,0.01577323752062548,0.004395863038846315,0.002218294482355261,0.0055986410335911166
165,0.0024138295441431816,0.015773236841407533,0.004393723488342102,0.0021462260765118596,0.004827722709942115
170,0.002346280225057975,0.01577323648859388,0.0043922747112049515,0.0020909595691912786,0.004180288297008265
175,0.002294007817102736,0.015773236305272952,0.004391293608341605,0.0020485785733408263,0.0036365450509413446
180,0.0022535894370995153,0.015773236210062422,0.004390629672022666,0.002016106080189024,0.003180269632239089
185,0.0022223354104968242,0.0157732361606013,0.004390180324836481,0.0019912253882398917,0.002797379692680192
190,0.0021981850948502176,0.015773236134917563,0.0043898763940621675,0.0019721760551477474,0.002476322962335168
195,0.002179522828907984,0.01577323612157912,0.004389670796583103,0.0019575909953237778,0.002207103736612567
200,0.0021651107382217524,0.015773236114655823,0.0043895317915048256,0.001946431654561608,0.001981516294757484
205,0.0021539801656775912,0.01577323611106319,0.00438943779790063,0.001937893041073596,0.0017924810298549122
210,0.002145388899986228,0.015773236109201092,0.00438937427009083,0.0019313637489026141,0.0016341824737831554
215,0.002138757166111984,0.015773236108237474,0.004389331327664431,0.0019263706582533142,0.0015016163518081875
220,0.0021336406851116927,0.015773236107740615,0.004389302312065007,0.0019225544872790046,0.0013906696815069739
225,0.002129692953493325,0.01577323610748611,0.004389282704011487,0.001919637626002158,0.0012978116010465407
230,0.002126648419309209,0.015773236107357466,0.004389269458133172,0.0019174092871672758,0.0012201386876291107
235,0.002124300262298788,0.015773236107294204,0.00438926050892321,0.00191570681416424,0.001155163843603091
240,0.002122489961498493,0.01577323610726489,0.004389254464563815,0.0019144067137360887,0.0011008410263586735
245,0.0021210942105722584,0.01577323610725321,0.0043892503816301085,0.0019134138029971203,0.0010554210460511943
250,0.0021200184868641492,0.015773236107250684,0.004389247624406616,0.001912655820319731,0.0010174643306140045
255,0.00211918934815066,0.015773236107252907,0.00438924576220701,0.001912077128546524,0.0009857424012719497
260,0.0021185504880758383,0.01577323610725759,0.00438924450481121,0.0019116354895849293,0.0009592438548416769
265,0.0021180582019248,0.015773236107263573,0.004389243655689241,0.0019112984134128045,0.0009371070327620294
270,0.002117678977399824,0.015773236107270217,0.004389243082402574,0.0019110412344583991,0.0009186222914955808
275,0.0021173868260587494,0.015773236107277207,0.004389242695302543,0.001910844995842882,0.0009031859801234085
280,0.002117161817190377,0.01577323610728437,0.004389242433972766,0.0019106953056220405,0.0008903007858724764
285,0.0021169885073796433,0.01577323610729163,0.004389242257531059,0.0019105811112666196,0.0008795442714396237
290,0.0021168550511095276,0.01577323610729894,0.004389242138424112,0.0019104940213874595,0.00087056831059801
295,0.0021167522765893464,0.015773236107306264,0.004389242058012937,0.0019104275961446002,0.0008630775759997729
300,0.002116673147691846,0.015773236107313623,0.004389242003734538,0.001910376945935704,0.0008568286218457936
305,0.0021166122200842468,0.015773236107320978,0.0043892419670927005,0.0019103383206632756,0.0008516151733015941
310,0.002116565316490548,0.015773236107328333,0.004389241942360373,0.0019103088727679307,0.0008472671463508304
315,0.002116529206609684,0.0157732361073357,0.004389241925665303,0.0019102864195437387,0.0008436405871367114
320,0.0021165014115361817,0.01577323610734305,0.004389241914397155,0.001910269303459832,0.0008406167672743261
325,0.0021164800153661532,0.015773236107350406,0.0043892419067913455,0.0019102562546431422,0.0008380953025374577
330,0.002116463547622891,0.015773236107357782,0.0043892419016582414,0.0019102463086734622,0.000835993378351565
335,0.0021164508723587757,0.015773236107365148,0.004389241898193804,0.0019102387270318684,0.0008342410425881352
340,0.002116441117589249,0.015773236107372524,0.004389241895855939,0.001910232948786887,0.0008327805722527148
345,0.002116433610003553,0.015773236107379875,0.004389241894278319,0.0019102285445800739,0.0008315632531454407
350,0.0021164278326733315,0.015773236107387244,0.0043892418932139346,0.0019102251882652812,0.0008305488777638258
355,0.0021164233866087065,0.015773236107394603,0.004389241892495896,0.0019102226302947596,0.0008297035419328605
360,0.0021164199654448157,0.01577323610740196,0.004389241892011667,0.001910220681089067,0.0008289992554778077
365,0.0021164173328011605,0.015773236107409327,0.004389241891685213,0.0019102191956446952,0.0008284124345003134
370,0.0021164153071476233,0.015773236107416693,0.004389241891465265,0.0019102180637919576,0.0008279236044937268
375,0.0021164137484683027,0.015773236107424052,0.004389241891317188,0.0019102172012927681,0.0008275163685163289
380,0.002116412549222725,0.01577323610743141,0.004389241891217629,0.001910216544138519,0.0008271771837240398
385,0.0021164116264888577,0.015773236107438766,0.004389241891150805,0.0019102160434014076,0.000826894655142873
390,0.0021164109165696192,0.015773236107446124,0.004389241891106079,0.0019102156618995112,0.0008266593692027107
395,0.0021164103703630406,0.015773236107453476,0.004389241891076272,0.0019102153712189278,0.000826463410302411
400,0.002116409950146594,0.015773236107460835,0.004389241891056526,0.0019102151497646883,0.0008263002378529569
405,0.0021164096268484305,0.015773236107468194,0.004389241891043575,0.001910214981038344,0.0008261643553067721
410,0.0021164093781315943,0.015773236107475566,0.004389241891035206,0.0019102148524995357,0.0008260512199761205
415,0.002116409186785387,0.01577323610748292,0.004389241891029936,0.0019102147545696875,0.0008259570164110977
420,0.002116409039584783,0.015773236107490284,0.004389241891026751,0.0019102146799674518,0.0008258785906484563
425,0.0021164089263419413,0.01577323610749764,0.0043892418910249755,0.001910214623132377,0.0008258132950163576
430,0.0021164088392275323,0.015773236107505,0.00438924189102415,0.0019102145798371468,0.0008257589404375917
435,0.002116408772211373,0.015773236107512353,0.0043892418910239685,0.0019102145468541645,0.0008257136901325147
440,0.0021164087206588513,0.015773236107519708,0.004389241891024219,0.00191021452172943,0.0008256760251698558
445,0.002116408681000974,0.015773236107527084,0.004389241891024765,0.0019102145025896267,0.0008256446716496523
450,0.0021164086504944684,0.015773236107534436,0.0043892418910255054,0.0019102144880103035,0.0008256185759164352
455,0.0021164086270271266,0.015773236107541787,0.004389241891026382,0.0019102144769042521,0.0008255968546688492
