delta,omega_g,omega_r,n
30,9.684964847,6.383200095,0.182264383
31,9.858127353,6.427379185,0.181081397
32,10.02914885,6.470795492,0.180339778
33,10.19803698,6.513528171,0.179997101
34,10.36481026,6.555645031,0.18001621
35,10.52949539,6.597204823,0.180364397
36,10.69212491,6.638259285,0.181012736
37,10.85273564,6.678854465,0.181935523
38,11.0113672,6.719032082,0.183109819
39,11.16806087,6.758830466,0.184515064
40,11.32285893,6.798285215,0.186132755
41,11.47580378,6.837430077,0.187946181
42,11.62693759,6.876297114,0.189940191
43,11.7763019,6.914917047,0.192101004
44,11.9239371,6.953320682,0.194416043
45,12.06988254,6.991537353,0.196873799
46,12.21417623,7.029596267,0.199463707
47,12.35685465,7.067526517,0.202176045
48,12.49795276,7.105357061,0.205001846
49,12.63750392,7.143116981,0.20793282
50,12.77553987,7.180835413,0.210961285
51,12.91209066,7.218541881,0.214080109
52,13.0471848,7.256265989,0.217282661
53,13.18084909,7.294037747,0.220562763
54,13.31310867,7.331887893,0.223914648
55,13.44398719,7.369847189,0.227332928
56,13.57350667,7.407947038,0.230812562
57,13.7016876,7.446219479,0.234348825
58,13.82854889,7.48469706,0.237937282
59,13.95410792,7.523413016,0.241573769
60,14.07838085,7.562400868,0.245254369
61,14.20138211,7.601695214,0.248975393
62,14.32312497,7.641330821,0.252733366
63,14.44362121,7.681343421,0.256525006
64,14.56288136,7.721769096,0.260347215
65,14.68091478,7.762644344,0.264197063
66,14.7977294,7.804006441,0.268071777
67,14.91333244,7.845892353,0.271968729
68,15.02772959,7.888339931,0.275885426
69,15.14092598,7.931386453,0.279819501
70,15.25292561,7.975069461,0.283768703
71,15.363732,8.01942551,0.287730891
72,15.47334792,8.06449075,0.291704025
73,15.58177587,8.11029985,0.295686157
74,15.68901807,8.15688611,0.299675431
75,15.79507672,8.204280725,0.30367007
76,15.89995437,8.252512039,0.307668374
77,16.0036541,8.30160526,0.311668715
78,16.10617971,8.351581933,0.315669535
79,16.20753581,8.402459588,0.319669335
80,16.30772915,8.454249658,0.323666681
81,16.40676749,8.506958665,0.327660193
82,16.50466057,8.560587295,0.331648548
83,16.60142063,8.615129049,0.335630475
84,16.69706191,8.670571219,0.339604755
85,16.79160133,8.726893815,0.343570218
86,16.88505844,8.784069759,0.347525746
87,16.977455,8.842065969,0.351470267
88,17.06881557,8.90084228,0.355402759
89,17.15916685,8.960353139,0.359322249
90,17.24853744,9.020548411,0.363227809
91,17.33695806,9.081372809,0.367118563
92,17.4244606,9.142768538,0.370993682
93,17.5110781,9.204675216,0.374852382
94,17.59684407,9.267031409,0.378693931
95,17.68179276,9.329774895,0.382517641
96,17.76595786,9.392844701,0.38632287
97,17.84937324,9.456179827,0.390109025
98,17.93207184,9.519721817,0.393875555
99,18.01408571,9.58341478,0.397621952
100,18.09544555,9.647205954,0.40134775
101,18.17618149,9.71104468,0.405052525
102,18.25632182,9.774884364,0.408735892
103,18.33589335,9.838682,0.4123975
104,18.41492163,9.90239779,0.416037038
105,18.49343077,9.965995164,0.419654226
106,18.57144318,10.02944164,0.423248816
107,18.64898003,10.09270722,0.42682059
108,18.72606115,10.15576521,0.430369361
109,18.80270496,10.21859206,0.433894965
110,18.87892877,10.28116637,0.437397266
111,18.95474698,10.34347231,0.44087615
112,19.03017824,10.40548749,0.444331527
113,19.10523379,10.46720207,0.447763324
114,19.17992552,10.52860592,0.451171491
115,19.2542675,10.58968495,0.454555992
116,19.32826978,10.65043236,0.457916812
117,19.40194339,10.71083979,0.461253947
118,19.47529756,10.77090213,0.46456741
119,19.54834151,10.83061412,0.467857227
120,19.62108351,10.88997249,0.471123435
121,19.69353157,10.9489741,0.474366084
122,19.7656929,11.00761723,0.477585233
123,19.83757449,11.06590076,0.480780952
124,19.90918257,11.12382439,0.483953318
125,19.98052354,11.1813876,0.487102419
126,20.05160262,11.23859211,0.490228348
127,20.12242531,11.29543842,0.493331206
128,20.19299671,11.35192824,0.496411102
129,20.26332126,11.40806374,0.499468147
130,20.33340356,11.46384698,0.502502462
131,20.40324786,11.51928058,0.505514168
132,20.47285814,11.57436724,0.508503395
133,20.54223783,11.62911036,0.511470275
134,20.61139097,11.68351259,0.514414942
135,20.6803205,11.7375779,0.517337537
136,20.74902969,11.7913097,0.520238201
137,20.81752171,11.84471125,0.52311708
138,20.88579874,11.89778748,0.525974319
139,20.95386497,11.9505401,0.52881007
140,21.02172214,12.00297437,0.531624483
141,21.08937287,12.05509409,0.53441771
142,21.15681953,12.10690287,0.537189908
143,21.22406483,12.15840418,0.53994123
144,21.29111019,12.20960348,0.542671835
145,21.35795797,12.26050452,0.54538188
146,21.42461058,12.31111,0.548071523
147,21.49106962,12.36142517,0.550740923
148,21.55733708,12.41145369,0.553390241
149,21.62341487,12.46119911,0.556019635
