delta,omega_g,omega_r,n
30.0,10.9285141087418,3.47125360427511,0.04375929030206259
31.0,11.099273589055649,3.481084784878059,0.04145014008064629
32.0,11.267830154453266,3.4915293129437868,0.03934826272680021
33.0,11.434247074615877,3.5025562136859683,0.03743005024737319
34.0,11.598585895963994,3.514139268292428,0.03567522175043055
35.0,11.760906160526936,3.5262567341276285,0.03406627757082954
36.0,11.921265458650375,3.538890634458477,0.03258805512962381
37.0,12.079719158440806,3.5520259272374557,0.031227365423857116
38.0,12.236320454892446,3.565650527826006,0.029972693843227618
39.0,12.391120584946343,3.5797546147407235,0.028813952627495955
40.0,12.544168574473344,3.594330285424098,0.02774227502537723
41.0,12.69551158274912,3.6093713565909695,0.026749843316026107
42.0,12.845194790580438,3.6248729104587207,0.025829744475136515
43.0,12.993261494148648,3.6408314501124983,0.02497584852238277
44.0,13.139753202215488,3.6572441663643684,0.024182705567799716
45.0,13.284709590903601,3.6741091731706685,0.02344545834453029
46.0,13.428168859443938,3.691425143372336,0.022759767622744953
47.0,13.570167486817724,3.7091912836011893,0.022121748383709082
48.0,13.71074060191097,3.727406867004903,0.02152791501600352
49.0,13.84992187562355,3.746071426360747,0.020975134107790647
50.0,13.987743516337108,3.7651848853487815,0.020460583654924463
51.0,14.124236725271938,3.784746535390771,0.01998171770974802
52.0,14.259431321482744,3.804755971824442,0.019536235656453824
53.0,14.393356194581719,3.825212044631997,0.019122055434587417
54.0,14.52603887791486,3.846113861165937,0.018737290141266384
55.0,14.657506348871223,3.8674596221934525,0.018380227533533362
56.0,14.78778436206537,3.8892472266766545,0.01804931202635899
57.0,14.91689796748603,3.91147389091515,0.017743128843703746
58.0,15.044871404712987,3.9341362382090135,0.01746039003260488
59.0,15.171728170593354,3.9572301285428795,0.017199922091727493
60.0,15.297491017948465,3.980750897975772,0.01696065500261322
61.0,15.422182147522468,4.004692785988565,0.016741612482976658
62.0,15.545823051732372,4.029049574618359,0.016541903304771864
63.0,15.668434823329198,4.053814036213801,0.016360713544653398
64.0,15.790037934686122,4.0789780208667015,0.016197299648884545
65.0,15.910652279898567,4.104532800420014,0.016050982214502726
66.0,16.030297504651713,4.130468637563107,0.015921140398723256
67.0,16.148992614147144,4.156774957725021,0.015807206881800734
68.0,16.266756380918988,4.183440568814645,0.015708663318050906
69.0,16.38360709180513,4.210453511486086,0.01562503621786788
70.0,16.499562680050897,4.237800883356246,0.015555893211534623
71.0,16.614640711298406,4.265469391908051,0.015500839651285476
72.0,16.728858492319503,4.293444727498906,0.015459515514606757
73.0,16.84223286532474,4.32171260682294,0.015431592574903024
74.0,16.954780502611516,4.35025764371233,0.015416771811809468
75.0,17.066518008950947,4.379064232332947,0.01541478103544569
76.0,17.177460497300267,4.408116237440117,0.015425372702511318
77.0,17.28762417112174,4.437397279784966,0.015448321905428275
78.0,17.397024735647594,4.466890856446387,0.015483424517217698
79.0,17.50567743830898,4.496580107480332,0.0155304954771232
80.0,17.613596560101666,4.52644776409801,0.015589367204458013
81.0,17.72079686834663,4.556476760034183,0.01565988812860345
82.0,17.827292715104956,4.586650203251299,0.015741921325186085
83.0,17.93309816015133,4.616950326047121,0.015835343249480507
84.0,18.038226955909018,4.647360242261906,0.01594004255920677
85.0,18.142692552931027,4.677863149836942,0.016055919019084902
86.0,18.24650807611001,4.7084427371573865,0.016182882481572777
87.0,18.349686730093918,4.739081015260696,0.01632085193752551
88.0,18.452240889439835,4.769763357738392,0.016469754632532436
89.0,18.55418319837714,4.800472329701158,0.01662952524316507
90.0,18.655525730576368,4.83119301329325,0.016800105110562673
91.0,18.75628039022462,4.861910117801669,0.016981441526278594
92.0,18.856458744861598,4.892608742154543,0.017173487068104922
93.0,18.95607223270929,4.92327431005445,0.01737619898213986
94.0,19.055131886576465,4.953892741833727,0.01758953860833974
95.0,19.153648633991185,4.984450914182408,0.017813470847732302
96.0,19.251632972079875,5.014935188549973,0.0180479636673481
97.0,19.349095342042617,5.045333544533228,0.018292987642564904
98.0,19.446045785689318,5.0756337913418745,0.01854851553290358
99.0,19.542494137045665,5.105824614590801,0.01881452189104714
100.0,19.638449983296578,5.135894835932199,0.01909098270162472
101.0,19.733922706036825,5.165834130042611,0.019377875049186293
102.0,19.82892144286395,5.195632027852301,0.019675176813603215
103.0,19.92345490910885,5.225280233302484,0.019982866390102664
104.0,20.01753199270873,5.254768983571113,0.020300922434601704
105.0,20.111160954203278,5.284090413434315,0.020629323630905798
106.0,20.204350068454715,5.313236052032908,0.02096804847930606
107.0,20.29710741463242,5.342198777496615,0.021317075105599083
108.0,20.389440490744544,5.370972357955564,0.021676381088828835
109.0,20.481357092887144,5.399549540444288,0.0220459433063057
110.0,20.572864402884573,5.427924973489361,0.022425737795508854
111.0,20.663969741083168,5.456092680478613,0.022815739631469115
112.0,20.754679810968785,5.484048183728348,0.02321592281856379
113.0,20.845001608994586,5.511786614903391,0.023626260195516155
114.0,20.934941490537884,5.53930346662098,0.02404672335338933
115.0,21.024506017782954,5.566595349564345,0.024477282565390352
116.0,21.113701290435586,5.593658863266904,0.024917906726709592
117.0,21.20253328629714,5.620490861523694,0.025368563305659828
118.0,21.291007864988327,5.647088594303053,0.025829218303134147
119.0,21.379130844140136,5.673449725256189,0.02629983622135793
120.0,21.466907649007407,5.699572290130206,0.026780380040062644
121.0,21.554343528942425,5.725454937250962,0.02727081120081645
122.0,21.641443943242262,5.751094356695438,0.027771089596900896
123.0,21.728213603504308,5.776493778838993,0.028281173570785065
124.0,21.814657834886834,5.80164764745986,0.028801019915825225
125.0,21.90078112338299,5.826557681104224,0.02933058388413254
126.0,21.98658821235249,5.851222870118743,0.02986981919880095
127.0,22.07208368922879,5.8756430112014835,0.030418678070004493
128.0,22.15727195593195,5.899817910374938,0.030977111215147148
129.0,22.242157145743807,5.923748255988008,0.03154506788293438
130.0,22.32674340521766,5.9474344798996155,0.032122495879180035
131.0,22.411035051903568,5.9708761373696175,0.03270934159666386
132.0,22.495035712202284,5.994075041677039,0.033305550046637114
133.0,22.578749536723144,6.017030710225431,0.03391106489242863
134.0,22.662180131857323,6.039744904549085,0.03452582848484147
135.0,22.745330972254575,6.062218573502937,0.035149781899258256
136.0,22.82820591123601,6.084452331422318,0.03578286497403343
137.0,22.910808163663745,6.106447858087954,0.036425016349358665
138.0,22.99314124600997,6.128205991179726,0.03707617350799768
139.0,23.0752085116235,6.149728036264722,0.03773627281557458
140.0,23.157013335706946,6.17101460249741,0.0384052495619774
141.0,23.23855856479339,6.192068373017757,0.03908303800321485
142.0,23.319847309425143,6.2128902202513885,0.0397695714027818
143.0,23.40088281065636,6.233481255274883,0.04046478207359312
144.0,23.481667940148476,6.253842984063475,0.041168601419842445
145.0,23.562205720295378,6.273976409641179,0.041880959978004964
146.0,23.642498705724183,6.293883967446258,0.042601787458786095
147.0,23.7225496127859,6.3135673302265225,0.04333101278701034
148.0,23.802361623604547,6.3330263977973615,0.04406856414303638
149.0,23.88193737646591,6.35226278110594,0.04481436900166038
