omega_g,omega_r,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101
0.2,0.2,0.990429220973129,0.9904302562464943,0.9904323460005054,0.9904360002904562,0.9904418587922686,0.9904506137492126,0.990462909914652,0.990479225307021,0.9904997417340304,0.9905242203987638,0.9905519042752109,0.9905814733473987,0.9906110787803266,0.9906384751682481,0.990661254708529,0.9906771641225852,0.9906844581468425,0.9906822195705263,0.9906705644773985,0.9906506614034146,0.9906245288123989,0.9905946323403781,0.9905633670295654,0.990532557859709,0.9905031215925444,0.9904749920681004,0.9904473270039809,0.9904189157515021,0.990388634993815,0.9903557870499623,0.9903202118376603,0.9902821638370791,0.9902420421355304,0.9902001097273294,0.9901563199002272,0.9901103003552162,0.9900614685510214,0.9900091998218504,0.9899529582080498,0.9898923252858266,0.9898269135376704,0.9897562118018688,0.9896794533968871,0.9895955878196375,0.9895033625682035,0.9894014267448474,0.9892883375807108,0.9891624326602361,0.9890216631907491,0.9888635323408261,0.988685182039258,0.9884835274179062,0.9882553336858095,0.9879973043839679,0.9877064167187695,0.9873807035787624,0.9870205057077809,0.986630141043099,0.9862199667889133,0.9858085558404438,0.985423914413886,0.9851018965542915,0.9848804105729296,0.9847901800593774,0.9848455118802643,0.9850394909993769,0.9853460772676812,0.9857279334379273,0.9861461021930031,0.9865675826427384,0.9869689166196065,0.987336212200777,0.9876631889488753,0.9879487271532137,0.9881947517061187,0.9884047095642695,0.9885826013745689,0.9887324299045767,0.988857925671453,0.9889624424246646,0.989048951254182,0.9891200893781286,0.9891782371367548,0.9892256066485988,0.9892643294001134,0.989296529109542,0.9893243628105723,0.9893500105497957,0.9893755972347498,0.9894030440652807,0.9894338725501305,0.9894690130711011,0.9895086852326341,0.9895524030700223,0.9895991151438568,0.9896474389070746,0.9896959184424793,0.9897432385298103,0.9897883574323645,0.9898305553579454,0.9898694188586096
0.4,0.4,0.9910373911507554,0.9910411310117987,0.9910488200450435,0.991062497213252,0.991084720852389,0.9911182621421164,0.9911657073495642,0.9912289842277573,0.9913088483105403,0.9914043900428596,0.9915126487912335,0.9916284370266978,0.99174447750584,0.9918519284567432,0.9919413108616166,0.9920037606372762,0.9920324219371816,0.9920237042404803,0.9919780824352464,0.9919001604548959,0.9917978615250139,0.991680834080052,0.9915584134901481,0.9914376670807209,0.9913220844478087,0.9912113097697808,0.9911019786114227,0.9909893334258494,0.9908690103350558,0.990738347877434,0.9905967971284173,0.9904454110690775,0.9902857701467643,0.9901188836100583,0.9899445255333441,0.9897611941241643,0.9895665791351977,0.9893582234368193,0.9891340269543231,0.9888923465582079,0.9886316473155363,0.9883498957290779,0.9880440487866164,0.9877099509378665,0.987342659911569,0.9869368535945087,0.9864868543522557,0.9859861287928529,0.9854266396509107,0.9847986149861674,0.9840909043870563,0.983291526873608,0.982387998256161,0.9813677070879927,0.9802192598175606,0.9789355704187496,0.9775187687181485,0.9759866814746831,0.9743807381163377,0.9727741876311,0.9712764959122727,0.9700268922024605,0.9691717882058354,0.9688291414727095,0.9690530987486705,0.9698158365717631,0.9710159418983684,0.9725086838922418,0.97414322946414,0.975791710699866,0.9773629855618716,0.9788027698170182,0.9800861940033855,0.9812084311218988,0.9821765660705958,0.9830037124502982,0.9837052458696259,0.9842966408081982,0.9847923813774464,0.9852055352308768,0.9855477160917102,0.9858292640758923,0.986059539906797,0.9862472673742239,0.9864008729121544,0.9865287673125478,0.9866395012889038,0.9867417169727408,0.9868438307186721,0.9869534386366415,0.9870765380571734,0.9872167722241079,0.9873749640153716,0.9875491461185733,0.9877351235823082,0.987927405156315,0.9881202224036438,0.98830837292858,0.988487741250252,0.9886554869817199,0.9888099811157409
0.6,0.6,0.9920345294781672,0.992041478453084,0.9920563307507863,0.9920836686332971,0.9921292460042133,0.9921993049747259,0.9922996901656077,0.9924347956799319,0.9926064249146948,0.9928126990683,0.9930472053532132,0.9932986132165821,0.993550984561805,0.9937849409275711,0.9939797145709913,0.9941159081177525,0.9941785529119125,0.9941598524897531,0.9940609064700512,0.9938918072349665,0.993669821179494,0.9934158665006584,0.9931500494134975,0.9928874238302852,0.9926352014813388,0.9923922614727911,0.9921510648242852,0.9919012287631301,0.9916334124483236,0.9913420981952041,0.9910263778266275,0.9906887393869948,0.9903326729016171,0.9899602890995849,0.989570937356456,0.9891611961728456,0.9887259446182396,0.9882598089440899,0.9877582247651577,0.9872176058991975,0.9866345528586872,0.9860045308348581,0.985320781193035,0.9845741265630521,0.983753697504107,0.9828478194281823,0.9818440604140343,0.9807281458659484,0.979482569439305,0.978086131152567,0.9765147694546596,0.9747428273583765,0.9727438572998971,0.9704915462532497,0.9679627502616615,0.9651442977736685,0.962043661038467,0.9587028296044603,0.955214883531304,0.9517407662231955,0.9485175342706171,0.9458434806369499,0.9440294619596097,0.9433234011493841,0.9438362844214164,0.9455050247695344,0.9481112586063584,0.9513457576135741,0.9548868880237079,0.9584616474032188,0.9618745683609615,0.9650081431955265,0.9678073911950862,0.9702602807194624,0.9723806119730307,0.9741955155602063,0.9757373624037624,0.9770390563006703,0.9781316175916402,0.9790431995206997,0.9797989566498104,0.9804213989692122,0.9809310053595395,0.98134695074898,0.9816878313989784,0.9819722635036796,0.9822192013303508,0.9824478015866263,0.9826766932595047,0.9829226398479947,0.9831988080721266,0.9835131071864051,0.9838671852482934,0.9842565310937271,0.9846717475248297,0.9851006238460411,0.9855303850830616,0.9859495413157937,0.9863490220580566,0.9867225790305163,0.9870666380643799
0.8,0.8,0.993396634569083,0.9934054859374021,0.9934260381011196,0.9934664211493661,0.9935368544947474,0.9936484473507224,0.9938116470158975,0.9940343978719044,0.9943201529236559,0.9946659762362526,0.9950610693499661,0.995486117388013,0.9959138434347906,0.9963110467451688,0.9966421613545746,0.996874019877276,0.996981103415118,0.9969502129418617,0.9967833514759213,0.9964977882511038,0.9961228400627723,0.9956937731011425,0.9952441691052143,0.9947987717666776,0.9943689022851021,0.9939518481604509,0.9935343304127807,0.9930986990550407,0.9926295086700574,0.992118068614762,0.9915635200700292,0.9909705368185152,0.9903451374072624,0.9896906776521884,0.989005662953841,0.9882839224412968,0.9875165525385606,0.9866943811002981,0.9858096812619525,0.9848563397537459,0.9838284383654545,0.9827180119467782,0.9815132618613867,0.9801982964933011,0.9787544039939725,0.9771615570179623,0.9753984800061064,0.9734408174661188,0.9712588319951793,0.9688167187863052,0.9660741502429651,0.9629885938313854,0.9595168917085378,0.9556170792648837,0.9512537787210291,0.946409912557346,0.9411047647072875,0.9354169748020404,0.9295112181477418,0.9236641580428093,0.9182754651633277,0.9138406946262543,0.91086975450968,0.9097634437013133,0.9106945217337384,0.9135500664483085,0.9179646231229477,0.9234262013946181,0.9294037336395347,0.935445680569361,0.9412267526163777,0.9465489355194872,0.951316998901247,0.9555070898213599,0.9591389718779681,0.962255492093496,0.9649091016889747,0.9671538753619736,0.9690413122748682,0.9706185422710423,0.9719279907572832,0.9730078934075556,0.9738932765391952,0.9746171497512761,0.9752117046701992,0.9757092958361632,0.9761429305376079,0.9765459648096187,0.9769507669814844,0.9773863407215644,0.9778752984881961,0.9784310043243047,0.9790558994570315,0.9797417648759269,0.980472000895202,0.9812252543951079,0.9819793107489192,0.9827142657882308,0.9834144522529611,0.9840691066720363,0.9846720950366368
1.0,1.0,0.9950914991426786,0.9950986839065546,0.9951196862660169,0.9951671691905782,0.9952570696826197,0.9954067553261693,0.9956326452247618,0.9959473951452578,0.9963568669456222,0.9968572482177698,0.9974328294968271,0.9980550370695995,0.9986833024916134,0.9992681718677437,0.9997566905371444,1.0000995651129156,1.0002589998673808,1.0002155969610083,0.9999725123744838,0.999555360228793,0.9990072297084203,0.9983794918536468,0.9977204693244853,0.9970650059386275,0.9964280173306778,0.9958040139099686,0.9951726075973256,0.994507854473983,0.9937878701227747,0.9930011819619359,0.9921478163681619,0.9912354660461775,0.9902731102921224,0.9892652052335136,0.9882087812394124,0.9870940644583516,0.9859075652574476,0.9846357050950816,0.9832671553932232,0.9817928551873443,0.9802037858918188,0.978487686676916,0.9766265513222901,0.9745963848763616,0.9723691464028242,0.9699149539471782,0.9672021532507502,0.9641946462979911,0.9608486185333263,0.9571117220785123,0.9529255946948084,0.9482295777406372,0.942963432153763,0.9370704739247359,0.9305059526414288,0.9232545660167715,0.9153569010945096,0.9069422407138762,0.8982652306206705,0.8897396182770559,0.8819491983588429,0.875604573452255,0.8714250417438599,0.8699651230982376,0.8714512763593603,0.875706550767672,0.88220157293588,0.8902047360740704,0.8989598404251121,0.9078225535995771,0.9163251358534582,0.9241784765937279,0.9312389742743366,0.9374654460427574,0.9428805019762779,0.9475415248765664,0.9515212857626553,0.954896225820508,0.9577401117340348,0.9601211806126438,0.9621014513739656,0.9637373305708953,0.9650809480728344,0.96618183855514,0.9670886467310597,0.9678505036682704,0.9685176489847998,0.969140837292961,0.9697691794869178,0.9704464360042695,0.9712063920536215,0.9720685807932258,0.9730358803179537,0.9740950781750738,0.9752204594267617,0.9763793590960393,0.9775380349478614,0.9786664002854495,0.9797408613146449,0.9807452658673714,0.9816704545536347
1.2,1.2,0.997080016624085,0.9970795234464584,0.997091628278359,0.9971344761110761,0.9972309351739794,0.9974059960061219,0.9976834248096124,0.9980818173018904,0.998610367018096,0.9992648633202885,1.0000246265876862,1.0008512064220172,1.0016896348777884,1.0024727685934256,1.0031287360396914,1.0035907660653616,1.0038078480827146,1.0037539986679107,1.0034336751619006,1.002881335049139,1.0021543739424374,1.0013204876344803,1.0004423861420288,0.9995640303294137,0.9987025145681441,0.9978481253669058,0.996972350458506,0.9960407041295257,0.99502543813774,0.9939134335918179,0.9927068223358566,0.9914171393589186,0.9900564738273174,0.988629888925571,0.9871320922583011,0.985548872450881,0.9838615840986502,0.9820519660753301,0.9801049404430936,0.9780082486420762,0.9757492605740282,0.9733106290200378,0.9706671689631338,0.9677857652147889,0.9646280747531545,0.9611534438296347,0.9573189427041645,0.9530758418015197,0.9483654424213261,0.9431183112013632,0.9372580439260207,0.9307067169708078,0.9233891367928069,0.9152377673472377,0.9062046277169572,0.8962851047489236,0.8855530153051915,0.8742028128540015,0.8625946393577522,0.8512927197446882,0.8410720644746547,0.8328556106233305,0.8275590017135356,0.8258708349136845,0.8280518194164957,0.8338481671451076,0.8425631049502618,0.8532491963312583,0.864931314169911,0.8767764808467776,0.8881745670183978,0.8987417893315369,0.9082806469875714,0.9167268204132787,0.92410075712075,0.9304706277765364,0.9359270868165507,0.9405676545089697,0.944487993417861,0.9477777723119527,0.950519454336836,0.9527888808383178,0.9546568977602502,0.9561914935858874,0.9574599875811516,0.9585307584882801,0.9594739066617027,0.9603602065583777,0.9612578876921162,0.9622273191417227,0.963314535400156,0.9645454001158246,0.9659225045940761,0.9674262331934442,0.9690199637777152,0.9706578608059867,0.9722929781013908,0.9738836999216532,0.975397540459391,0.9768123571555077,0.9781156727760919
1.4,1.4,0.9993177395893489,0.9993012714225967,0.9992912756724516,0.9993122661417669,0.999395182805811,0.9995739369986023,0.9998809821659719,1.0003421128296335,1.0009709138539125,1.0017635421222095,1.0026947663542978,1.0037163330595436,1.0047586666388153,1.005736559087153,1.0065588199061635,1.0071408958433963,1.0074184175824847,1.007358796016944,1.0069677467498586,1.0062882776243318,1.0053913133323114,1.0043594702425525,1.0032678567656579,1.0021672465267148,1.0010747489266167,0.9999749154671604,0.9988306353417341,0.9975995334855979,0.9962495043837171,0.9947675856875433,0.9931594786755128,0.991441226314883,0.9896277913926439,0.9877239732694043,0.9857211300383679,0.9835998694887329,0.9813361219497511,0.9789070358861472,0.9762939298911391,0.973481252019454,0.9704523085161607,0.967183961078938,0.9636431095023836,0.9597869300404689,0.9555663774732993,0.9509297444770871,0.9458226087476042,0.9401835331163928,0.9339392140231637,0.9270040348327688,0.9192853289772719,0.9106908427836691,0.9011349049552928,0.8905456258862109,0.8788807042025014,0.8661575760948784,0.852496539001198,0.8381708893258234,0.8236575466974815,0.8096758052576105,0.7971850367944168,0.7872995993429436,0.7810990151924647,0.7793704013729997,0.782381483785478,0.7897914616027624,0.8007445589243027,0.8140985307194516,0.8286835111517212,0.8434972815409865,0.8577983086854769,0.8711111144636414,0.8831817596811745,0.893917457798568,0.9033304206767927,0.9114940095898795,0.9185122042496828,0.9245002283803483,0.9295733726588866,0.9338414228695459,0.9374067645015336,0.9403648096749787,0.9428058116214231,0.9448173799010344,0.946487076065975,0.9479043968144154,0.9491613307442391,0.9503506504768917,0.951561377578678,0.9528715999475366,0.9543399613381964,0.9559982212874392,0.9578475804563045,0.9598605025165605,0.9619878244469572,0.9641690392111079,0.9663427784663383,0.9684550121991964,0.970463791457092,0.9723406740929905,0.9740697582908499
1.6,1.6,1.0017566063416985,1.0017141179774984,1.001665831932125,1.0016434154850213,1.0016868944971962,1.0018402682949086,1.0021459120747018,1.0026380363582765,1.0033357461522125,1.0042365611835697,1.0053115503369894,1.0065033922845352,1.007728577104562,1.0088845038831056,1.0098613666508078,1.010557535958833,1.0108958738310818,1.0108374512072547,1.0103889202590488,1.0096006874534502,1.0085551031958322,1.0073467437158434,1.0060596551075898,1.0047480458412161,1.0034264184856896,1.002072282712413,1.000640175852757,0.9990814314979838,0.9973619282501882,0.9954711310732116,0.9934197882665732,0.9912287750648774,0.9889152202917146,0.9864824293217374,0.9839172913586086,0.9811946786184295,0.9782851901881614,0.9751618503669603,0.9718027803662883,0.9681891540588776,0.9642998049215676,0.9601052015974635,0.9555638659841417,0.9506231476680498,0.9452235015184708,0.9393025336771098,0.9327947929463418,0.9256268632990922,0.9177121797368256,0.9089512375675644,0.8992385651476025,0.8884723781787796,0.876562990492766,0.863442712523468,0.8490857643387177,0.8335443160279679,0.8169983354603145,0.7998112772388504,0.7825826475648112,0.7661823472889056,0.751734877014195,0.7405108005934494,0.7337074625486489,0.7321652865309157,0.7361285755443334,0.7451632112510671,0.7582722684230928,0.7741520130361756,0.7914744494485241,0.8090982200055308,0.8261695159232784,0.842129617502491,0.856668705827418,0.8696614083251712,0.8811055109645421,0.8910730381680009,0.8996753960148346,0.9070406607098576,0.9133000438473161,0.9185808228923367,0.9230036405893991,0.9266826435361932,0.9297273634078694,0.9322454970257796,0.9343457904257351,0.9361401292199433,0.937743796042171,0.939272859264547,0.940838056736563,0.9425355195533461,0.9444361145993233,0.946576460267689,0.9489549002108827,0.9515343869831219,0.9542517817698868,0.9570307987995372,0.9597949133145871,0.9624772726051893,0.9650262956289721,0.9674072273522654,0.969600821667471
1.8,1.8,1.0043467413404668,1.004267365001149,1.004163116915567,1.0040734446386586,1.0040482724074757,1.0041426323840017,1.004409846406506,1.0048936053307578,1.0056196192154727,1.0065878853716526,1.0077669538660103,1.009091734814553,1.0104662451163993,1.0117721150652883,1.012882631931619,1.0136806982109796,1.0140776211061944,1.0140285865506504,1.0135405262240058,1.012669250487936,1.011505224331882,1.0101507023174658,1.0086940769503954,1.0071889417036386,1.005644501375697,1.0040304137684843,1.002293959366292,1.0003826590797904,0.9982633238557749,0.9959302730161879,0.9934005005015429,0.9906995104630935,0.9878453773165361,0.9848384035285378,0.9816599320762153,0.9782788451182663,0.9746609046881652,0.9707758172527444,0.9665991032669365,0.9621087404209314,0.9572787105893086,0.9520726176138958,0.946440456792212,0.9403201275492252,0.9336423866394912,0.9263351462787288,0.9183230373055433,0.9095221517890723,0.8998349925214473,0.8891517192082407,0.8773589702979062,0.8643517565318751,0.8500443172161503,0.8343830319544324,0.8173704077063317,0.7991060988933669,0.7798414648360388,0.7600377458500376,0.7404165516452464,0.7219852475157185,0.7060041816501782,0.693855264490112,0.6868004447094185,0.6856851467700213,0.6907011597649211,0.7013195738048354,0.716426812996845,0.7345979478523009,0.7543899592995655,0.7745582284663683,0.7941607666413255,0.8125680693895023,0.8294178740884336,0.8445498312368387,0.8579418423178697,0.8696580530633952,0.8798108939373823,0.8885356671032245,0.8959749115597555,0.9022698817525503,0.907556981507662,0.9119675088633854,0.9156294832819077,0.9186705596538938,0.9212210491103652,0.9234159281445008,0.9253945617244034,0.9272969177080873,0.929255606172428,0.9313843279260315,0.9337650468420645,0.9364376294030793,0.9393957795608506,0.9425913263890179,0.945945961102115,0.9493669299362946,0.9527623074028878,0.9560524794739051,0.9591764535876167,0.9620934319458031,0.9647810822803986
2.0,2.0,1.0070382294845637,1.0069115413464351,1.0067342388979281,1.0065539464874442,1.006430999703438,1.0064320663399349,1.0066220932098437,1.0070550139553098,1.0077640286899352,1.008752687657488,1.0099883731211543,1.0113999306117756,1.0128809918455823,1.0142998306754758,1.0155153754618187,1.0163974107408804,1.0168473893003533,1.0168151698798882,1.01630697080891,1.015381288368833,1.0141324442384596,1.0126651656737886,1.0110669607807148,1.0093865949326217,1.007625643622214,1.0057458550611613,1.0036892224904694,1.0014026147290873,0.998856976521751,0.9960536723534907,0.9930165515780774,0.9897748708709047,0.9863459481004632,0.9827254452444116,0.9788882965184198,0.9747975476235016,0.9704150225662866,0.965708177049897,0.9606506163038632,0.9552171951134146,0.9493766947690039,0.9430855555184099,0.9362854526860162,0.9289057111751873,0.9208687544521768,0.9120943620903202,0.902498945316182,0.8919902773740621,0.8804631257555645,0.8678019250115986,0.8538914955514579,0.8386310734427549,0.8219476599886265,0.8038120918902791,0.7842668134435299,0.7634705574761628,0.7417550897983025,0.7196824100498849,0.6980891844771949,0.6780994015353645,0.6610727004951377,0.6484525479745324,0.6415111131979532,0.6410531920354454,0.64719404490699,0.659313798806076,0.6762106099644724,0.6963807972677011,0.7183106467159504,0.7406894854493298,0.7625131800331936,0.7830962867048671,0.8020299004574272,0.8191182455973666,0.8343152203287054,0.8476712930228307,0.859293766024076,0.8693194346745758,0.8778972435217871,0.8851784655400584,0.891312283003769,0.8964450750327516,0.9007220860816816,0.9042903376266348,0.9073016120502131,0.9099141601550912,0.9122916233304162,0.914597786360862,0.91698652475695,0.9195878552306574,0.9224930115007631,0.9257429840478915,0.9293248088599271,0.9331776209265686,0.937207029321107,0.9413035535744151,0.9453601009131258,0.9492848005120199,0.9530078281845965,0.9564828709615902,0.9596849282701835
2.2,2.2,1.0097827646161384,1.0096002767452978,1.0093358344680827,1.0090453188637096,1.0087995742204228,1.0086770232496691,1.0087544079379571,1.0090961889909864,1.009743555454589,1.0107044536995462,1.0119464213814973,1.0133941450795718,1.0149333774749543,1.0164220240280435,1.0177078324693605,1.018650373490932,1.0191432932796542,1.0191317309184795,1.0186199352887648,1.0176658759486779,1.0163629176759605,1.0148126543810656,1.013096425133639,1.0112543360221278,1.0092787546669906,1.007124369894828,1.0047306200083803,1.002047229348066,0.9990522835821521,0.9957557281455237,0.992188021036851,0.9883805633549372,0.9843478570264013,0.9800793714675008,0.9755431732174656,0.9706971130999634,0.9655003346390925,0.9599192463323328,0.9539261901970946,0.9474929094036048,0.9405826861179153,0.9331447306951967,0.9251129998199652,0.9164096006119656,0.9069504820625355,0.8966493360685144,0.8854165630772496,0.8731543915585347,0.8597537767351291,0.845098855322367,0.829079504736883,0.8116072574473686,0.7926310160751281,0.7721562139491452,0.7502758114533664,0.7272169966432988,0.7033973012863584,0.6794772855534021,0.6563953548404264,0.6353650730613778,0.617804489792194,0.6051681995734158,0.5986879671444928,0.5990893276992622,0.6063945150861921,0.6199016988030773,0.6383505842185971,0.6601995193582478,0.6839055974092053,0.7081271648552878,0.7318234066208992,0.7542686406599879,0.7750147864300052,0.7938320547685949,0.8106478773397443,0.8254945055196456,0.8384687871085725,0.8497037262959382,0.8593499145512854,0.8675646537803069,0.8745067683957125,0.8803354207342774,0.8852115416560461,0.8893006077397316,0.8927754014967039,0.8958171740694433,0.8986134788141116,0.9013511719863384,0.9042040514638953,0.907316459360608,0.910786438984969,0.9146535546936801,0.9188959908678537,0.9234387315571883,0.9281707117769141,0.9329658972548439,0.9377027112833278,0.9422779312513415,0.946613796599083,0.9506592279024046,0.9543871088156199
2.4,2.4,1.012535080459519,1.0122917691398796,1.0119315918718559,1.0115183574334679,1.0111329774206224,1.0108651168947789,1.0108028074121393,1.0110206613044976,1.0115677779281662,1.0124569115609543,1.0136568432701678,1.015089991175121,1.016636926818748,1.0181485195980553,1.019464922158128,1.020438759446021,1.0209581458316637,1.0209641503879248,1.0204576780957686,1.019492783332677,1.0181569857573687,1.0165433282513308,1.0147222438471084,1.0127222265577787,1.0105258931152354,1.0080826361518527,1.005332570964289,1.0022316886067704,0.9987675466968733,0.9949591807396925,0.9908423932737447,0.9864484561070519,0.9817868607440041,0.9768396732065908,0.9715682086067522,0.965926278039926,0.9598718558104907,0.9533714836002346,0.9463967339033795,0.9389161523076511,0.9308873213755211,0.9222524609351709,0.912938836560567,0.9028631326715307,0.8919370790578713,0.8800707036113126,0.867171030348914,0.8531380295354187,0.8378633416179171,0.821236786454957,0.8031605974710819,0.7835668424484761,0.7624352045635933,0.7398149249585416,0.7158581858098922,0.6908669658441714,0.6653456542276482,0.6400459240955333,0.6159891136891988,0.5944469623102694,0.5768536396464913,0.5646274184633833,0.5589163809188868,0.560337824961748,0.5688130178655229,0.5835716408839701,0.6033241655767503,0.6265274373329798,0.6516453799363587,0.6773359944238909,0.7025448604872417,0.7265213338358562,0.7487865363396701,0.7690796449935332,0.7873008637828464,0.8034612051929424,0.817642926433804,0.8299708008535703,0.8405928528286025,0.8496687326941483,0.8573639048637604,0.8638480231542272,0.869296072624943,0.8738908890306084,0.8778255018036597,0.8813034939545932,0.8845354493196148,0.8877299216580794,0.891078595297258,0.8947374763376074,0.8988084164075033,0.9033266861531178,0.9082593830538481,0.9135160726369105,0.9189687769923292,0.924475502567615,0.929901281208154,0.9351327893748019,0.9400854870716955,0.944704454799853,0.9489611178895664
2.6,2.6,1.0152540888697648,1.014949707602364,1.014492819551673,1.0139543384794587,1.0134241523071155,1.0130018933702745,1.0127855571109008,1.0128587192080516,1.013277573519273,1.01405949557377,1.01517518503547,1.0165464746604604,1.0180514364589277,1.019537362497539,1.020840592720414,1.021810266132104,1.0223313748686778,1.0223416431456693,1.0218373337355873,1.020865386610166,1.019503018554153,1.0178300621216079,1.015902380268708,1.0137351431077333,1.011301819052586,1.0085490116944829,1.0054208516546668,1.0018824197749694,0.9979319671998886,0.9935968583986029,0.9889159614484235,0.9839176887055641,0.9786044932444741,0.9729504252664519,0.966910853703237,0.9604371670842423,0.9534877738427859,0.9460303309826077,0.9380358739047937,0.9294695692840941,0.9202832730967946,0.9104128375240522,0.8997803055717739,0.8882991041517226,0.8758792773195968,0.86242987704458,0.8478575257198804,0.8320636479662329,0.8149454877160258,0.7964048132754399,0.7763635551566789,0.7547822661591529,0.7316795212677077,0.7071560877466234,0.6814295917556153,0.6548795431953074,0.6280937422455369,0.6019025907284069,0.577387208749648,0.5558437995656279,0.5386816615363241,0.5272411096950084,0.5225528684609831,0.5251077790134532,0.5347265526162579,0.5505871246687759,0.571397740792806,0.5956443243773006,0.6218267978286365,0.6486277996087535,0.6749988996799602,0.7001784114237588,0.7236652603375877,0.7451717281856386,0.7645715765166362,0.7818531094740172,0.797081208435588,0.8103690507173988,0.8218586786464388,0.8317089674135479,0.8400893766241513,0.8471779556740923,0.8531621709519437,0.8582410535341929,0.8626269279375198,0.8665447032306492,0.8702266368995497,0.8739010188128069,0.8777747476941861,0.8820122453635854,0.8867157409378044,0.8919131502399279,0.8975583080967184,0.9035443574181385,0.9097265465809524,0.9159479184128663,0.9220615640952983,0.9279455931826223,0.933510045440353,0.9386972180138259,0.9434778079962064
2.8,2.8,1.0179036763935116,1.0175435710753638,1.0169979328336807,1.016343406389422,1.0156770433630717,1.0151063257030513,1.0147369842219376,1.0146594740746304,1.0149354466669898,1.0155860231970215,1.0165839789373832,1.0178519084641773,1.0192678939746975,1.0206790583844192,1.0219217292844123,1.022845064583642,1.0233334086174308,1.0233219924516412,1.0228014151922362,1.0218088394366027,1.0204075990238457,1.0186608752763813,1.0166077319509166,1.014249706432498,1.0115527738987353,1.008463671499548,1.004933524300713,1.0009382846173485,0.9964867161449406,0.9916124367233565,0.9863542837130203,0.9807349640984532,0.9747483684305275,0.9683607225783984,0.9615229600932409,0.9541859854978663,0.9463101336536726,0.9378647999384734,0.9288203992666672,0.9191384925761413,0.9087654526403462,0.8976318383031259,0.8856563674253907,0.8727516526189714,0.8588287364074613,0.8437985363086518,0.8275705092179585,0.8100515880404872,0.7911498052924274,0.7707851628402032,0.7489063060307799,0.725509510677569,0.7006591449299097,0.6745132831753426,0.6473583195052187,0.6196501608114899,0.592052089742764,0.5654565504802326,0.5409783281890667,0.5199041295678624,0.5035810547260433,0.4932376707006302,0.4897643373399592,0.49351779776004434,0.5042258111067319,0.5210330944849604,0.54266925797543,0.5676732939531225,0.5946030704041543,0.6221848646711494,0.6493918934962658,0.6754634331996671,0.6998844960905353,0.7223453371714906,0.7426953283723274,0.7609000178952561,0.7770054704314358,0.7911110584350978,0.8033503586054408,0.8138790565139463,0.8228684706884495,0.8305032830384363,0.8369820426400676,0.8425188335200504,0.8473441896916705,0.8517030490207514,0.8558475480998657,0.8600232086082041,0.8644489025971923,0.8692937313953693,0.8746565673858505,0.8805548504246875,0.8869271491527151,0.893649511572735,0.9005609448497264,0.9074908946711238,0.9142822624294944,0.9208063408660142,0.92696924937758,0.9327116405381115,0.9380042531531372
3.0,3.0,1.0204531447788878,1.0200483117792025,1.0194309088660636,1.0186813786728401,1.0179013993975887,1.017203349320752,1.016697582648317,1.0164784847041968,1.016610740318352,1.0171176775129616,1.0179737881655995,1.0191034043334657,1.0203868750747576,1.0216743894225342,1.0228059376569594,1.0236341180163906,1.024045097272943,1.0239726228106514,1.0234010375439724,1.022355858603584,1.0208841440618985,1.0190304733834685,1.0168164538893119,1.014231015936921,1.0112350650489057,1.0077783772014988,1.0038212408291187,0.9993509018710374,0.9943849800421569,0.9889601525749512,0.9831116988543651,0.9768540847668611,0.9701719272733744,0.9630247213167793,0.9553610730428452,0.9471334392836263,0.9383052479570283,0.9288477855940849,0.9187304642564212,0.9079110669999393,0.896331101127007,0.883917397514067,0.870587626743935,0.8562561974917111,0.8408378635617365,0.824248308177809,0.8064032504555116,0.7872194393087282,0.7666209897157396,0.7445521879771659,0.7209947545261548,0.6959868409504238,0.669643927909319,0.6421849077601359,0.6139651346266295,0.585511881011368,0.5575518549400329,0.531019452565162,0.5070355490190438,0.48684509254663844,0.47170124138891706,0.4626961107515837,0.4605674160838208,0.46553960577247555,0.47726052049864165,0.4948603936591909,0.5171095469041234,0.542617398946092,0.5700148412754182,0.5980851175641198,0.625834845285802,0.6525141297736424,0.6776016694402482,0.7007709022604389,0.7218497998988522,0.740782297472969,0.7575954228470722,0.7723736576939508,0.7852405898272585,0.7963470753282269,0.8058647458386884,0.8139835686445261,0.8209120247141063,0.8268781885017752,0.8321296265675995,0.8369297481407609,0.8415483676801533,0.8462452375030164,0.8512474685296733,0.8567247284343379,0.8627686318584172,0.8693830990063456,0.876489709553416,0.8839471343672932,0.8915790688827786,0.8992030595923793,0.9066538059616267,0.9137976817508359,0.9205384658253537,0.926816340268453,0.9326028638833321
