delta,omega_g,omega_r,n
50.0,2.863645136415058,14.159215712524365,0.016303170957464887
52.0,2.8779907851084596,14.432141633464367,0.01530405850568209
54.0,2.892895786616251,14.700313321241481,0.014412694921283322
56.0,2.9083653335091717,14.963948320345384,0.013614695259090936
58.0,2.9244058672081885,15.223248118456702,0.012898073650597692
60.0,2.9410290694056047,15.478401277171642,0.012252780216219682
62.0,2.958247370258416,15.729582717793784,0.011670339127714324
64.0,2.9760747176777604,15.976955728331584,0.011143563340659503
66.0,2.9945256274187826,16.22067263462938,0.010666327985644803
68.0,3.013615283105779,16.46087576862612,0.010233389033632793
70.0,3.033358865477014,16.697698393355726,0.009840237194430291
72.0,3.053771291841866,16.931265286298274,0.009482979444018722
74.0,3.0748667976311634,17.161693765142044,0.009158242377656544
76.0,3.09665853430565,17.389093874546234,0.00886309292124546
78.0,3.1191584985936642,17.613569277374935,0.008594972935087413
80.0,3.142377258655305,17.835217854970185,0.00835164500492924
82.0,3.166323022796612,18.054131894478967,0.008131147289685038
84.0,3.1910027108884145,18.270398928432236,0.007931755740303276
86.0,3.216419947645925,18.484101828147004,0.007751952346099387
88.0,3.2425764949337124,18.695319366709317,0.007590398330682551
90.0,3.269471335181063,18.90412648445327,0.007445911430052236
92.0,3.2971005103926614,19.110594584088012,0.007317446548002283
94.0,3.3254574344474586,19.314791876499562,0.007204079217247188
96.0,3.3545325757020383,19.516783597725098,0.007104991397091592
98.0,3.384313221418396,19.716632208786237,0.007019459224385856
100.0,3.414784405882207,19.91439760053293,0.006946842401342023
102.0,3.4459279015008795,20.110137278493006,0.006886574960253082
104.0,3.4777235025253384,20.303906593314057,0.006838157189498837
106.0,3.51014785271483,20.495758751003216,0.006801148542970777
108.0,3.543174886168122,20.685745667320276,0.006775161385330528
110.0,3.5767814107020337,20.87391469888656,0.006759855449894009
112.0,3.610933303227188,21.060315690767442,0.0067549329082002745
114.0,3.645601955158707,21.244993938861125,0.006760133965368096
116.0,3.680754813835097,21.42799395654955,0.006775232910064841
118.0,3.716358401454487,21.609358769967493,0.006800034561026907
120.0,3.7523789343679286,21.789129882282364,0.006834371057945599
122.0,3.7887805103482686,21.967347640767525,0.006878098956713523
124.0,3.8255276349643217,22.144050912343555,0.006931096592149309
126.0,3.8625842439465345,22.319277458257268,0.0069932616780672184
128.0,3.8999139038638133,22.493063789113446,0.00706450912005708
130.0,3.937480259017898,22.665445268444465,0.00714476901703346
132.0,3.9752471128129123,22.836456209490215,0.007233984834466436
134.0,4.0131783894530795,23.006129873150062,0.0073321117320089306
136.0,4.051238926843525,23.17449838940907,0.007439115031232004
138.0,4.089393520682024,23.341592996230187,0.007554968811461771
140.0,4.127608991736996,23.507443844429385,0.007679654622898908
142.0,4.165852031933499,23.67208027969873,0.007813160307703008
144.0,4.204089990217815,23.835530770332095,0.007955478919928517
146.0,4.242291907655756,23.997822691646494,0.008106607738078166
148.0,4.280428756856089,24.158982705942318,0.008266547363251397
