delta,omega_g,omega_r,n
10.0,-5.467328449148298e-7,15.903942162546057,0.9902248289336293
11.0,-8.829529824660661e-8,15.903942162546057,0.9902248289340573
12.0,-8.829529824660661e-8,15.903942162546057,0.9902248289340573
13.0,-8.829529824660661e-8,15.903942162546057,0.9902248289340573
14.0,-8.829529824660661e-8,15.903942162546057,0.9902248289340573
15.0,-8.06285074062741,3.4466460681100948,0.14651669406602583
16.0,-8.272434008075537,3.436946276424438,0.13058844964096306
17.0,-8.479672963463555,3.429484481828323,0.11722686836215322
18.0,-8.684320757239785,3.4241627282416145,0.10590777852033197
19.0,-8.886241024163358,3.4208214410205415,0.09623436067987674
20.0,-9.08536869159936,3.419281059085065,0.0879017923821198
21.0,-9.281685125379296,3.4193635827071156,0.08067280697969965
22.0,-9.475202948690855,3.4209032728633613,0.07436049648979741
23.0,-9.66595509750961,3.423751292110383,0.0688160108093366
24.0,-9.853988380539665,3.42777620988518,0.06391962450466188
25.0,-10.039358789439694,3.4328639538602226,0.059574157851812255
26.0,-10.222127876802183,3.4389158934439874,0.05570006892438049
27.0,-10.40236082548262,3.4458475952959438,0.05223174862879101
28.0,-10.580124548871693,3.4535871151829234,0.04911469307919164
29.0,-10.75548654606227,3.462073180254022,0.046303323617568386
30.0,-10.928514108741808,3.471253604275107,0.043759290302058614
31.0,-11.099273630297997,3.48108473274135,0.04145014008069525
32.0,-11.267830154999054,3.491529297355118,0.03934826272674971
33.0,-11.434247036125084,3.5025561962648375,0.03743005024741167
34.0,-11.59858586383633,3.514139267809075,0.035675221750449806
35.0,-11.76090616859691,3.5262567490702246,0.03406627757082236
36.0,-11.921265482049273,3.5388906062363925,0.03258805512961308
37.0,-12.07971913841546,3.5520258841251375,0.03122736542383831
38.0,-12.236320423253012,3.5656505683618325,0.029972693843200043
39.0,-12.391120602749256,3.5797545826717467,0.028813952627479877
40.0,-12.544168573957679,3.594330299002185,0.027742275025371656
41.0,-12.695511539921776,3.60937139458411,0.02674984331605441
42.0,-12.84519481115726,3.624872915318644,0.025829744475131283
43.0,-12.993261510405656,3.640831433292514,0.024975848522381924
44.0,-13.139753178514377,3.6572441933813367,0.024182705567801947
45.0,-13.284709618201182,3.6741091904851286,0.023445458344527284
46.0,-13.42816886218881,3.691425149997603,0.02275976762272586
47.0,-13.570167496583737,3.7091912605991912,0.022121748383697376
48.0,-13.710740609676972,3.7274068262065536,0.021527915015994104
49.0,-13.849921890818578,3.746071435199607,0.020975134107785978
50.0,-13.987743518268942,3.7651848544026967,0.020460583654915522
51.0,-14.124236722592137,3.7847465239672964,0.019981717709753228
52.0,-14.259431344593548,3.804755873653071,0.019536235656461575
53.0,-14.393356152167236,3.825212101833342,0.019122055434606235
54.0,-14.52603884003794,3.8461139039582575,0.01873729014124729
55.0,-14.657506332031444,3.867459697975305,0.018380227533515446
56.0,-14.787784359367926,3.889247229932532,0.018049312026348647
57.0,-14.916897987473602,3.9114738591887392,0.017743128843708093
58.0,-15.044871423430482,3.934136227291066,0.017460390032606403
59.0,-15.171728154626724,3.9572301949507747,0.017199922091703197
60.0,-15.297491041294883,3.980750827042218,0.016960655002627126
61.0,-15.422182150517376,4.00469274997814,0.016741612482952306
62.0,-15.545823046753094,4.029049638915938,0.0165419033047814
63.0,-15.66843482873664,4.053814045637124,0.01636071354466429
64.0,-15.79003788010828,4.078978066327588,0.01619729964887159
65.0,-15.910652254246541,4.104532751457521,0.01605098221450003
66.0,-16.030297481059538,4.1304685605606535,0.015921140398716872
67.0,-16.14899262261379,4.156775034203303,0.015807206881804054
68.0,-16.26675638039514,4.18344060313515,0.015708663318048172
